N,Type,DecompMethod,StageIndex,TotalStages,KernelType,ConfigFile,Length,Factors,WGS,TPT,ExtraOpts,ConfigLine,HashKey
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'true'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, runtime_compile=True),",412a7c534da8
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'true', 'half_lds': True}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, half_lds=True, runtime_compile=True),",2cf7e9e6c1ee
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'true', 'flavour': 'wide'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, flavour='wide', runtime_compile=True),",dad1901360fa
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'false'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'false'}, workgroup_size=64, threads_per_transform=16, runtime_compile=True),",e86e40677bd7
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'false', 'half_lds': True}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'false'}, workgroup_size=64, threads_per_transform=16, half_lds=True, runtime_compile=True),",ed0fb002faf0
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'true', 'dp': 'false', 'flavour': 'wide'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'true', 'dp': 'false'}, workgroup_size=64, threads_per_transform=16, flavour='wide', runtime_compile=True),",011c6ffde7bd
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'false', 'dp': 'true'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'false', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, runtime_compile=True),",fb01ef20bc50
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'false', 'dp': 'true', 'half_lds': True}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'false', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, half_lds=True, runtime_compile=True),",6885c4f59d3b
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'false', 'dp': 'true', 'flavour': 'wide'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'false', 'dp': 'true'}, workgroup_size=64, threads_per_transform=16, flavour='wide', runtime_compile=True),",ccd6718831c7
65536,z2z,z2z,1,2,sbcc,config_sbcc.py,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,"{'sp': 'false', 'dp': 'false'}","NS(length=256, factors=[2, 2, 2, 2, 2, 2, 2, 2], use_3steps_large_twd={'sp': 'false', 'dp': 'false'}, workgroup_size=64, threads_per_transform=16, runtime_compile=True),",f69fbf465b22
