Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,1607902,1607902,2048,1024,0,0,32,0,48,64,0x0,34664,34664,23744,0,0,23552,96,224,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5308,0,5574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,13,12,12,12,16,12,12,12,15,13,12,22,16,12,12,15,12,12,12,15,13,13,12,12,16,12,12,12,6,5,5,4,6,4,4,4,8,4,4,4,7,5,4,12,8,4,4,7,4,4,4,7,5,5,4,4,8,4,4,4,0,0,0,0,0,0,1163,0,1212,0,0,0,0,0,0,0,2343051864260957,2343051868109849,2343051868125049,2343051868133908
1,twiddle_gen_large_dp,0,1,2,1607902,1607902,8192,1024,0,0,32,0,32,64,0x0,20709,20709,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,636,0,693,661,733,719,706,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,0,0,0,28,7,0,7,28,0,0,0,0,0,0,0,14,23,0,0,0,0,0,28,11,5,9,4,9,4,8,4,12,4,8,4,12,5,8,5,12,4,8,4,8,4,8,4,10,5,8,4,8,4,8,8,564,0,563,0,620,588,660,646,633,669,0,0,0,0,0,0,2343051983973612,2343051985045732,2343051985050692,2343051985056361
2,twiddle_gen_radices_dp,0,1,4,1607902,1607902,8192,1024,0,0,32,0,48,64,0x0,29303,29303,48352,0,0,47584,384,400,0,0,0,48,0,48,0,48,48,48,48,48,48,0,0,0,0,0,0,2917,0,2829,0,2843,2915,2990,2881,3668,2992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,18,18,26,19,18,22,42,18,19,20,40,26,20,82,46,18,18,40,19,18,19,43,26,28,18,21,46,20,19,19,12,9,9,8,10,8,8,8,10,8,8,8,11,9,8,16,12,8,8,11,8,8,8,11,9,9,8,8,12,8,8,8,0,697,0,703,0,672,794,718,680,953,726,0,0,0,0,0,2343051988301447,2343051989177568,2343051989188768,2343051989190704
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,1607902,1607902,524288000,8,0,0,16,0,32,64,0x0,328218083,328218083,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284377137,227857650,455493784,455331125,398520971,455180079,455512338,455191812,455486910,455304671,455773663,0,0,0,0,0,38281,38759,39342,38430,38339,38474,38695,38863,38706,38550,38929,38473,38721,39607,39048,39424,38569,39033,38546,39015,39127,38822,38619,38483,39102,38834,37888,38383,39034,38710,38682,38783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4664,3918,5112,5095,3698,6079,52114,3573,3820,6223,5623,3771,3732,3807,14556,3964,3493,3441,5238,3479,3276,5736,27201,3120,3908,6170,7684,3713,3892,3793,5930,3816,4096015,4096011,4096013,4096052,4096012,4096020,4096065,4096008,4096010,4096018,4096012,4096012,4096008,4096008,4096147,4096008,4096015,4096008,4096012,4096008,4096008,4096021,4096060,4096008,4096013,4096025,4096057,4096008,4096012,4096008,4096014,4096008,51328352,41429321,82628286,82484134,72278591,82332892,82691050,82343985,82654560,82488536,83009601,0,0,0,0,0,2343052035815320,2343052036763268,2343052255558801,2343052255595731
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,1607902,1607902,524288000,1024,16384,0,12,0,32,64,0x0,22129038,22129038,319488000,0,16384000,270336000,8192000,8192000,458752000,168297013,514112,410976,821888,821152,717840,819136,818688,817824,817600,816736,816048,0,0,0,0,0,28369265,22727487,45494467,45657528,39871518,45441057,45619887,45664808,45681812,45644126,45678174,0,0,0,0,0,916930,861833,976841,840398,875959,871746,908148,1014977,854940,831922,893699,885519,907870,808885,952873,814519,870613,773489,892128,904661,936856,793769,1837060,882867,888514,929020,943002,916383,849527,816130,857095,816977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,2741,2040,1845,3888,3874,5283,2120,3995,3600,2024,2510,4084,2372,2231,2098,4584,1807,2327,2134,3617,3687,49781,1988,4516,4097,1862,2308,3334,1494,1978,2201,6144024,6144026,6144024,6144021,6144043,6144027,6144035,6144024,6144046,6144030,6144021,6144023,6144048,6144024,6144023,6144023,6144048,6144023,6144025,6144024,6144043,6144029,6144381,6144022,6144043,6144030,6144022,6144022,6144034,6144020,6144023,6144021,6843018,5506620,11080865,11284298,9827513,11163473,11359767,11445276,11489152,11545921,11572359,0,0,0,0,0,2343052036770437,2343052256462641,2343052271203601,2343052271224677
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,1607902,1607902,65536000,64,4096,0,64,0,32,64,0x0,19566644,19566644,324608000,0,49152000,324608000,22528000,8192000,262144000,61296697,1408572,1128798,2254560,2255638,1971112,2252492,2252690,2251964,2250600,2250556,2251018,0,0,0,0,0,85064070,71278873,139719229,139835664,123200089,140207205,140807491,140959884,141505070,141706444,141745269,0,0,0,0,0,7716613,6735728,6306074,7044263,6420486,6569105,6417089,6353925,6769316,6503447,6438007,6342499,6005091,6703174,6776693,6870671,6746306,6494186,6880291,6845761,6215705,7384396,5985139,6540311,6666645,6917202,6113121,6919724,6588804,6294068,6547755,6506355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725373,1005279,1129155,943498,1097853,1114249,1075410,1109552,983791,1100953,1096159,1100901,1130598,1127634,984370,750731,1099894,1076681,1102308,726619,1113047,1128552,1110064,984009,1008399,986214,1007842,1100452,1078344,1096872,1075675,742640,5577205,5576504,5575660,5575691,5575794,5572553,5577222,5577305,5576573,5576574,5577514,5575289,5574184,5577942,5575825,5576647,5576941,5574462,5575168,5578452,5573360,5576959,5577840,5577224,5574892,5575005,5575417,5573440,5574434,5576826,5577096,5575737,13435342,12469458,23616290,23709066,21209945,24079805,24552259,24427839,25044906,25126452,24835465,0,0,0,0,0,2343052037733435,2343052272098321,2343052285130002,2343052285143829
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,1607902,1607902,524288000,1024,16384,0,24,0,32,64,0x0,22842435,22842435,491520000,0,16384000,442368000,32768000,8192000,458752000,29594969,2061312,1648000,3294976,3286976,2871808,3277888,3275648,3270208,3267328,3259392,3254464,0,0,0,0,0,83576722,66829964,133666820,133690352,116986959,133637665,133748031,133688002,133865173,133794406,133797957,0,0,0,0,0,18023,20077,21375,17400,18402,15486,14203,15062,15322,18692,17728,15303,14612,20078,17364,17028,18161,15004,21335,20718,18099,17060,12291,21757,21372,21212,17490,12172,15382,19729,18760,17186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459683,594147,459379,547895,456468,581516,478007,528269,456261,577952,462154,534602,458506,595259,455395,549249,462567,590441,458833,552600,628877,576022,459140,532659,461879,570163,461345,533228,461007,590959,458935,549874,6144015,6144049,6144016,6144052,6144016,6144044,6144407,6144052,6144016,6144040,6144020,6144052,6144016,6144051,6144028,6144052,6144015,6144051,6144020,6144052,6144018,6144040,6144021,6144052,6144016,6144040,6144016,6144050,6144016,6144052,6144016,6144052,2991689,2456247,4913129,4928028,4342779,5072807,5018027,5085749,5136703,5136645,5199332,0,0,0,0,0,2343052038698033,2343052286024882,2343052301241523,2343052301260579
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,1607902,1607902,65536000,128,8192,0,64,0,32,64,0x0,19136963,19136963,397312000,0,73728000,397312000,24576000,8192000,262144000,197030129,1546752,1235472,2468304,2464128,2151840,2457888,2456352,2453184,2450448,2445744,2445888,0,0,0,0,0,83044499,66246413,132882867,132815893,116249849,133047604,133012889,132919198,133033475,133108394,133032347,0,0,0,0,0,5566877,5096141,5349668,5769311,5551109,5585006,5606610,5458742,6650969,5594057,5337513,5675172,5268476,5428050,5766198,5113044,5362815,5298206,5286069,5640825,5540951,5462056,5727665,5893877,5569903,5472745,5658651,5367686,5543608,5379164,5889953,5334920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327340,2136104,2322072,2129508,2323344,2136104,2323580,1912777,1739542,2136151,2323438,2020182,2327340,2136104,2322213,2129320,2327340,2136104,2322072,2129367,2325339,2136151,2323392,1927766,2323344,2136104,2323532,1919826,2327340,2229182,2322708,2129508,6144008,6144013,6144008,6144012,6144008,6144012,6144013,6144019,6144007,6144013,6144010,6144012,6144008,6144012,6144011,6144008,6144008,6144012,6144008,6144009,6144011,6144014,6144010,6144022,6144008,6144012,6144012,6144016,6144008,6144012,6144008,6144012,18802136,15137510,30244064,30307703,26713517,30576766,30472700,30356652,30603261,30846005,30581760,0,0,0,0,0,2343052039765091,2343052302136083,2343052314881044,2343052314899739
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,1607902,1607902,524288000,1024,16384,0,12,0,32,64,0x0,22138183,22138183,319488000,0,16384000,270336000,8192000,8192000,458752000,162506842,513968,410896,820912,820704,717792,819984,818976,818560,817040,816960,816208,0,0,0,0,0,25814641,20683522,41404459,41546325,36330168,41529527,41557096,41689078,41648489,41739364,41772315,0,0,0,0,0,452550,431981,406291,547172,469106,538360,554724,501721,541440,437548,476729,505679,445507,468533,479982,492459,438580,530075,488525,437074,603576,396000,408335,504008,466284,424268,540010,491879,425575,477347,487864,488710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,94,0,0,0,0,188,0,0,0,188,0,0,184,0,0,0,0,0,0,0,0,0,6144000,6144001,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144002,6144000,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144004,6144000,6144000,6144002,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,4517878,3690610,7469412,7551405,6637732,7584223,7679464,7851592,7892751,8008635,8059102,0,0,0,0,0,2343052040717449,2343052315774861,2343052330521896,2343052330543265
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,1607902,1607902,524288000,8,0,0,16,0,32,64,0x0,328212221,328212221,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282354209,226263447,452335567,452262259,395996328,452335189,452485818,452238446,452469092,452286430,452556111,0,0,0,0,0,1736,1666,1723,1707,1696,1685,1679,1843,1730,1652,1765,1746,1763,1612,1686,1751,1767,1698,1724,1667,1684,1709,1848,1786,1709,1660,1669,1818,1751,1751,1693,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,2904,4263,2731,2956,2841,39732,2690,3111,4577,4333,3128,3027,3214,4742,3052,2759,2847,4394,2816,2631,3159,21536,2546,3222,3133,3162,2949,3132,3128,4683,3052,4096012,4096008,4096012,4096008,4096012,4096008,4096010,4096008,4096010,4096012,4096012,4096012,4096008,4096008,4096012,4096008,4096011,4096008,4096012,4096008,4096008,4096010,4096013,4096008,4096012,4096008,4096008,4096008,4096012,4096008,4096014,4096008,48999486,39590866,78999199,78911911,69336632,79007943,79172087,78911286,79150046,78942149,79237074,0,0,0,0,0,2343052041681717,2343052331416422,2343052550211856,2343052550241085
