Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,1606092,1606092,2048,1024,0,0,32,0,48,64,0x0,35076,35076,23744,0,0,23552,96,224,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5146,0,5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,13,12,12,13,16,12,12,12,15,13,12,22,16,12,12,15,12,12,12,15,13,12,12,12,16,12,12,12,7,4,4,4,5,4,4,5,8,4,4,4,7,5,4,12,8,4,4,7,4,4,4,8,5,4,5,4,8,4,4,4,0,0,1010,0,1036,0,0,0,0,0,0,0,0,0,0,0,2343020165437734,2343020169278296,2343020169293656,2343020169308235
1,twiddle_gen_large_dp,0,1,2,1606092,1606092,8192,1024,0,0,32,0,32,64,0x0,21024,21024,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1328,699,723,1395,0,0,0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,23,28,0,0,0,28,7,0,7,28,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28,12,4,8,4,8,4,8,5,12,4,8,4,12,5,8,5,12,4,8,4,8,4,8,5,10,4,9,4,8,4,8,8,0,0,1182,626,650,1249,0,0,0,1260,0,0,0,0,0,0,2343020286124496,2343020287128334,2343020287133294,2343020287139154
2,twiddle_gen_radices_dp,0,1,4,1606092,1606092,8192,1024,0,0,32,0,48,64,0x0,30639,30639,48352,0,0,47584,384,400,0,0,0,0,0,96,48,48,96,0,0,0,96,0,0,0,0,0,0,0,0,5612,2986,2866,6558,0,0,0,5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,18,18,26,19,18,31,42,18,19,20,40,26,20,82,46,18,18,40,19,18,19,43,26,19,18,21,46,20,19,19,13,8,8,8,9,8,8,9,10,8,8,8,11,9,8,16,12,8,8,11,8,8,8,12,9,8,9,8,12,8,8,8,0,0,0,1418,708,703,1617,0,0,0,1418,0,0,0,0,0,2343020290425001,2343020291311859,2343020291322259,2343020291318478
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,1606092,1606092,524288000,8,0,0,16,0,32,64,0x0,328217448,328217448,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284125464,227563157,455011334,454751689,398466118,454972340,454982086,454906138,455112396,455087209,455169326,0,0,0,0,0,39087,38925,39348,39529,38307,39001,38841,38555,38942,38286,39393,38677,39174,38892,38972,39139,38610,38787,38784,39057,39074,38831,39156,39066,38787,38722,38676,38503,38744,39285,38996,38545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5387,5542,4570,3045,3339,4704,3124,4806,3415,5154,3445,3974,3577,6130,9607,7829,3183,5369,4629,3096,2901,4411,3052,4987,3634,5928,4592,3357,69211,5553,5161,3460,4096056,4096020,4096013,4096014,4096012,4096012,4096008,4096054,4096010,4096012,4096008,4096013,4096009,4096020,4096055,4096096,4096011,4096020,4096012,4096008,4096008,4096012,4096008,4096022,4096013,4096020,4096055,4096008,4096072,4096017,4096012,4096008,50974038,41063173,81978333,81716806,72086943,81978455,81977893,81895291,82131630,82123628,82237659,0,0,0,0,0,2343020338354067,2343020339303966,2343020558099479,2343020558138158
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,1606092,1606092,524288000,1024,16896,0,12,0,32,64,0x0,21984141,21984141,319488000,0,16384000,270336000,8192000,8192000,0,30788008,514176,411648,822064,820464,717280,818992,819408,817952,817424,816608,815984,0,0,0,0,0,29202623,23377961,46756812,46833569,40811577,46750327,46881937,46947163,46820607,47032338,46911381,0,0,0,0,0,1048386,1022241,1139632,868673,977194,1064371,1019018,1015611,1055106,1256472,1060943,995724,1102517,1010415,926412,939948,1051401,1066086,958645,1022908,1073818,1051298,979232,1005363,877971,960414,1122691,998520,2123663,1009253,1028732,1142283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,4479,2935,3063,3156,2095,2832,2009,3051,2587,3691,2406,3071,4621,2274,2138,2634,4421,2001,2251,3410,2036,2824,3987,3641,3700,3194,2408,54225,4273,1721,2363,6144035,6144031,6144027,6144034,6144034,6144022,6144033,6144022,6144031,6144022,6144033,6144024,6144030,6144032,6144026,6144022,6144031,6144032,6144023,6144024,6144034,6144023,6144033,6144030,6144034,6144027,6144034,6144024,6144400,6144032,6144024,6144021,7977368,6360909,12857755,12984065,11203983,12974713,13140261,13154354,13133355,13378819,13416793,0,0,0,0,0,2343020339310785,2343020559002997,2343020573647317,2343020573662873
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,1606092,1606092,65536000,64,4096,0,64,0,32,64,0x0,19555786,19555786,324608000,0,49152000,324608000,22528000,8192000,262144000,60933015,1408088,1127060,2255176,2253262,1972278,2252756,2253108,2252910,2252360,2250512,2250490,0,0,0,0,0,84985303,70952398,139210231,139629019,122464178,140028845,140626134,140725716,140708836,141247885,141605987,0,0,0,0,0,8076849,6822974,6659163,7113987,6549385,6478504,6352129,6340060,6579338,6428419,6364047,6275680,6362978,6968008,6435716,7045747,6177902,6528981,6833882,6609794,6820519,7028959,6652969,6715050,6319815,6894510,6716388,6559394,6397104,6651501,6467505,6882435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737366,1014370,1141527,953100,1103791,1121229,1084049,1119742,995123,1110088,1106451,1112060,1142891,1138586,996043,760156,1109555,1085619,1111055,735928,1117547,1135889,1119147,996031,1018254,998701,1017417,1107500,1088381,1108400,1087580,750336,5565505,5566743,5561999,5564978,5568960,5564237,5567982,5565813,5564886,5566284,5566182,5563102,5560796,5565668,5563810,5565946,5566458,5564712,5565368,5567782,5567693,5568311,5567701,5564875,5564604,5561955,5565417,5565221,5563648,5564272,5564294,5566862,13696281,12473877,23551607,23740904,21017902,24015603,24201699,24442882,24682973,24747438,25055201,0,0,0,0,0,2343020340263063,2343020574541877,2343020587566356,2343020587584106
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,1606092,1606092,524288000,1024,16896,0,24,0,32,64,0x0,22792344,22792344,491520000,0,16384000,442368000,32768000,8192000,0,29271648,2062016,1648448,3292544,3288768,2872128,3280064,3273152,3268736,3267200,3261056,3253888,0,0,0,0,0,84840397,67775771,135650596,135602822,118743933,135695336,135690541,135556275,135681688,135746935,135736514,0,0,0,0,0,22171,26568,17592,22641,16246,22956,25354,19844,25818,20883,21426,28458,25442,27369,23096,20450,16425,29844,20433,28719,21746,19380,25290,20748,30040,27728,29361,17577,23815,26036,25213,23052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280562,561327,278178,523451,275612,553540,281511,508937,274543,547074,279199,512340,277273,562164,272185,526891,278956,560543,274148,528067,417420,545789,274924,509101,278948,544569,281276,511376,299473,557225,278779,523010,6144015,6144040,6144028,6144052,6144016,6144044,6144028,6144055,6144016,6144038,6144024,6144048,6144016,6144040,6144029,6144052,6144016,6144040,6144028,6144052,6144018,6144040,6144020,6144041,6144016,6144040,6144028,6144052,6144403,6144040,6144028,6144052,2851510,2343671,4666929,4774799,4235159,4849123,4819722,4862018,4917921,4976052,4991406,0,0,0,0,0,2343020341205480,2343020588461236,2343020603644436,2343020603667595
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,1606092,1606092,65536000,128,8192,0,64,0,32,64,0x0,19147066,19147066,397312000,0,73728000,397312000,24576000,8192000,262144000,195865291,1542240,1234320,2467488,2462352,2151360,2460000,2454672,2454816,2453280,2448816,2446656,0,0,0,0,0,83094278,66295936,132895691,132844098,116374923,133032570,132996048,132865835,132932058,133023658,133120347,0,0,0,0,0,5381847,5371223,5460198,5570785,5592728,5561268,5483380,5506926,6277503,5336791,5138226,5472722,5658754,5364348,5635632,5446445,5353723,5200599,5555099,5177794,5852580,5495780,5519394,5301008,5739726,5505440,5133573,5285530,5692583,5545171,5674914,5361079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336556,2141268,2330988,2135148,2332024,2141080,2332024,1918991,1746002,2141268,2332024,2026074,2336556,2141080,2330987,2135148,2336556,2141127,2330988,2135148,2334149,2141127,2332024,1933682,2332024,2141080,2332024,1926406,2336637,2236128,2331506,2135148,6144012,6144012,6144012,6144008,6144012,6144008,6144012,6144009,6144006,6144012,6144012,6144011,6144012,6144008,6144013,6144008,6144012,6144009,6144013,6144008,6144009,6144009,6144012,6144011,6144012,6144008,6144012,6144011,6144014,6144013,6144012,6144008,18912488,15053569,30361997,30397338,26590834,30369120,30679147,30414728,30533376,30692822,30881505,0,0,0,0,0,2343020342169328,2343020604539156,2343020617290835,2343020617306125
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,1606092,1606092,524288000,1024,16896,0,12,0,32,64,0x0,21968038,21968038,319488000,0,16384000,270336000,8192000,8192000,0,30731604,513968,410592,821152,820416,717392,819392,819072,818640,817376,816960,817040,0,0,0,0,0,26164641,20958583,41901211,41989732,36855569,42131106,42167112,42194273,42245212,42285457,42332531,0,0,0,0,0,635269,756037,692159,667969,564189,642007,563298,633481,531010,688549,566074,675501,703676,730716,712838,650868,589559,662181,713325,701415,611651,636456,587161,564795,676248,578480,654528,665094,670697,711108,677189,617746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,188,0,0,0,188,0,0,0,47,0,0,0,0,258,0,0,0,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144002,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144002,6144000,6144000,6144000,6144000,6144002,6144000,6144000,6144000,5239257,4250876,8496765,8588143,7708040,8800743,8904864,8864635,9098922,9135561,9200888,0,0,0,0,0,2343020343120796,2343020618184140,2343020632818051,2343020632841510
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,1606092,1606092,524288000,8,0,0,16,0,32,64,0x0,328214460,328214460,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283417142,226420660,453178568,453231183,396624515,453286836,453218789,453188211,453457891,453635469,453189151,0,0,0,0,0,1714,1634,1718,1692,1686,1681,1643,1816,1729,1669,1731,1738,1734,1629,1683,1739,1782,1648,1691,1664,1638,1737,1844,1729,1724,1649,1671,1813,1749,1711,1702,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3247,4913,3316,3286,3258,4711,3199,3013,3498,5105,3462,3642,3265,3993,3423,3333,2976,3296,2990,2934,3071,4565,3013,2907,3424,5074,3439,3248,69168,5206,4897,3466,4096012,4096012,4096008,4096008,4096012,4096012,4096008,4096008,4096010,4096012,4096008,4096012,4096008,4096010,4096008,4096008,4096011,4096010,4096008,4096008,4096008,4096012,4096008,4096008,4096012,4096012,4096008,4096008,4096015,4096012,4096012,4096008,50136302,39822695,79987898,80048734,70100812,80109708,80048446,80014736,80308336,80501960,80028349,0,0,0,0,0,2343020344070433,2343020633714087,2343020852509592,2343020852539581
10,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,35,1606092,1606092,524288000,1024,16896,0,12,0,32,64,0x0,21970947,21970947,319488000,0,16384000,270336000,8192000,8192000,0,30697340,513536,410848,821120,820688,717344,819616,819424,818176,817664,817296,816288,0,0,0,0,0,26066448,21001074,41987701,42061284,36803195,42189539,42091032,42220994,42207732,42380249,42267398,0,0,0,0,0,656684,662087,602631,634522,639580,727148,592994,576552,719989,648698,561968,703439,652542,612249,684759,583816,547065,709623,655601,727586,578061,597238,674928,663426,520932,662795,647414,640416,649408,673500,682786,599492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,141,188,0,6144000,6144000,6144004,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144001,6144003,6144004,6144000,5123385,4282792,8545424,8644474,7595377,8846719,8737643,8983074,9023567,9191725,9200080,0,0,0,0,0,2343020345373374,2343020853411350,2343020868047189,2343020868066006
11,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,36,1606092,1606092,65536000,64,4096,0,64,0,32,64,0x0,19585781,19585781,324608000,0,49152000,324608000,22528000,8192000,262144000,58759035,1410244,1126972,2255066,2253724,1972960,2252470,2252448,2251832,2251524,2250644,2250116,0,0,0,0,0,88287999,68981194,140264413,141061032,123140636,141375946,141133017,141836711,141911927,142339773,142162627,0,0,0,0,0,7583387,6723634,6621214,6808619,6479748,6315079,6758018,6679309,6693351,6431818,6276442,6839292,6559047,6616366,6561146,6690306,6748055,6524443,7112263,6606134,6043646,6372746,6916136,6915787,6432682,6972236,6302166,6655489,6753001,6549966,6845395,7025199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725171,1009657,1128472,943780,1098715,1114375,1079021,1112061,987036,1103737,1099712,1103294,1132045,1129447,987220,749299,1101998,1075780,1101802,724753,1110089,1128700,1112450,986881,1009878,990361,1010130,1102425,1078208,1100243,1081285,742587,5583024,5581434,5584692,5582617,5583792,5580615,5582563,5583030,5583031,5582017,5582680,5581200,5581278,5584548,5582685,5583409,5583329,5584026,5583976,5585279,5584696,5585231,5583996,5584050,5582943,5580422,5582647,5580049,5583369,5582178,5580137,5580836,15358824,11396438,24055460,24403174,21243989,24576608,24606491,25036560,25014208,25272168,25245560,0,0,0,0,0,2343020346337472,2343020868941109,2343020881986228,2343020882006488
12,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,37,1606092,1606092,524288000,1024,16896,0,24,0,32,64,0x0,22790577,22790577,491520000,0,16384000,442368000,32768000,8192000,0,29261945,2063488,1648896,3294080,3288512,2874240,3275328,3272768,3271040,3266368,3258368,3254912,0,0,0,0,0,84814529,67749143,135557289,135572319,118657845,135528342,135660569,135557854,135615791,135571127,135713353,0,0,0,0,0,26033,25354,24329,23874,22414,20109,17896,29364,28478,23455,23549,19001,21135,21964,27728,24624,25880,24801,24507,18868,28728,20644,20562,26179,25455,29346,23925,19204,15791,15825,23858,22270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280183,561915,278531,522836,274974,553456,280631,509604,273620,547817,278136,510725,276264,562797,271352,525527,278327,560387,272981,526315,416430,545785,274111,508195,278588,544564,280221,511665,297414,557848,278505,523225,6144016,6144040,6144032,6144040,6144016,6144045,6144028,6144040,6144016,6144040,6144024,6144040,6144016,6144040,6144028,6144050,6144014,6144040,6144028,6144040,6144018,6144039,6144020,6144041,6144016,6144042,6144028,6144040,6144401,6144040,6144028,6144040,2831405,2305488,4644339,4686191,4182992,4756697,4802884,4826246,4885649,4923216,4979980,0,0,0,0,0,2343020347282289,2343020882880788,2343020898063187,2343020898080368
