Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,1713373,1713373,2048,1024,0,0,32,0,48,64,0x0,34587,34587,23744,0,0,23552,96,224,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,4818,0,5328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,13,12,12,12,16,12,12,12,16,12,12,22,16,12,12,15,12,12,12,15,13,13,12,12,16,12,12,12,6,5,5,4,5,4,4,4,8,4,4,4,8,4,4,12,8,4,4,7,4,4,5,7,5,5,4,4,8,4,4,4,0,0,0,0,0,0,0,0,973,0,1064,0,0,0,0,0,2347589916467171,2347589920380423,2347589920395623,2347589920405313
1,twiddle_gen_large_dp,0,1,2,1713373,1713373,8192,1024,0,0,32,0,32,64,0x0,20627,20627,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,618,0,0,716,1396,739,0,0,752,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,0,0,0,51,0,0,7,28,0,0,0,0,0,0,0,14,7,0,0,0,0,0,28,11,5,9,4,8,4,8,4,12,4,8,4,13,4,8,5,12,4,8,4,8,4,9,4,10,5,8,4,8,4,8,8,620,545,0,0,643,1250,666,0,0,679,661,0,0,0,0,0,2347590036070257,2347590037090526,2347590037095326,2347590037101275
2,twiddle_gen_radices_dp,0,1,4,1713373,1713373,8192,1024,0,0,32,0,48,64,0x0,30438,30438,48352,0,0,47584,384,400,0,0,48,0,96,0,0,48,96,48,0,0,48,0,0,0,0,0,2909,0,5745,0,0,2891,6223,2814,0,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,18,18,26,19,18,22,42,18,19,20,49,19,20,82,46,18,18,40,19,18,19,43,26,26,18,21,46,20,19,19,12,9,9,8,9,8,8,8,10,8,8,8,12,8,8,16,12,8,8,11,8,8,9,11,9,9,8,8,12,8,8,8,787,0,1427,0,0,730,1558,703,0,0,749,0,0,0,0,0,2347590040364202,2347590041270364,2347590041280604,2347590041282809
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,1713373,1713373,524288000,8,0,0,16,0,32,64,0x0,328217531,328217531,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285167383,228475319,457005370,456650709,399746936,456603520,456568246,456703553,456846216,456605801,456909395,0,0,0,0,0,40372,39778,40120,39866,40085,39457,39755,39542,40071,39906,39292,39885,39839,39905,39799,40137,39840,39718,39359,39742,39035,39603,39902,40364,39304,39545,39873,40251,40169,39842,39997,39681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3692,3838,5506,4249,5665,3674,5415,6333,86878,3984,6001,2709,7387,3948,10638,8887,4991,3629,5437,4094,5431,3607,5249,4163,6118,3984,5913,4561,4217,4026,5939,4633,4096012,4096010,4096013,4096014,4096016,4096008,4096012,4096060,4096128,4096008,4096012,4096009,4096058,4096008,4096057,4096106,4096012,4096008,4096012,4096012,4096013,4096014,4096012,4096016,4096016,4096008,4096012,4096014,4096012,4096008,4096013,4096014,52261908,42166386,84374888,83992979,73692354,83982298,83922461,84073866,84261100,83981475,84339767,0,0,0,0,0,2347590088676072,2347590089640431,2347590308435916,2347590308475396
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,1713373,1713373,524288000,1024,16896,0,12,0,32,64,0x0,21978567,21978567,319488000,0,16384000,270336000,8192000,8192000,0,30770166,514112,411152,821472,820736,717728,819504,818640,818912,817456,816704,815584,0,0,0,0,0,29163660,23420899,46805220,46858814,40996809,47011654,46996048,47055035,46924707,47158121,47052779,0,0,0,0,0,1144219,1069581,1126836,1086209,1075024,1118950,980604,1003708,1868600,918568,990451,966124,981102,1166240,1039907,1051152,1122171,1045032,1016043,983471,1068236,1017953,1045724,1123150,1051438,987681,1099767,1011944,941472,1000576,1152565,895571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4565,2328,3280,4419,3493,2038,2569,4178,56489,2021,2142,2352,3048,1975,3378,4390,3387,1507,2203,2727,2833,2276,1706,4189,2929,2568,2385,4019,4057,2376,3562,3929,6144043,6144024,6144035,6144030,6144034,6144025,6144024,6144031,6144398,6144020,6144024,6144021,6144035,6144022,6144032,6144030,6144035,6144023,6144021,6144027,6144034,6144022,6144024,6144029,6144033,6144028,6144024,6144029,6144045,6144023,6144036,6144029,7948118,6425977,12932426,12904368,11298002,13243402,13225751,13336033,13276527,13517484,13451148,0,0,0,0,0,2347590089655970,2347590309334476,2347590323973524,2347590323997392
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,1713373,1713373,65536000,64,4096,0,64,0,32,64,0x0,19561310,19561310,324608000,0,49152000,324608000,22528000,8192000,262144000,60454675,1410904,1127346,2254978,2253350,1971794,2253306,2253218,2251436,2251062,2250622,2249984,0,0,0,0,0,87999605,68195400,139702219,139925954,122976479,140188393,140659050,140921153,141165669,141487526,141465029,0,0,0,0,0,7800487,6305497,6572863,7018046,6586493,6626801,6580829,6966134,6798282,6529052,6978685,6570568,6614542,6736991,6530657,6728909,6590723,6699704,6893771,6769918,6465928,6906578,6443540,6477294,6839558,6339074,7128215,6497115,6465548,6714368,6635350,6959821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729992,1007276,1129942,943360,1099844,1114785,1077062,1114937,986190,1102091,1098081,1103150,1130961,1130308,987713,751975,1102899,1081513,1103208,729338,1112371,1129839,1111418,988352,1007882,988609,1010069,1100977,1079804,1102356,1079602,742963,5572160,5573051,5573123,5573408,5572175,5570359,5574273,5570072,5572790,5573733,5573997,5571065,5571930,5573494,5571342,5572860,5572102,5568560,5572466,5573284,5572227,5573907,5574986,5571457,5573769,5571344,5571565,5571147,5571540,5569954,5571972,5572649,15174764,10822762,23788567,24022756,21250174,24090609,24430397,24609204,24688723,24984882,24936622,0,0,0,0,0,2347590090687088,2347590324869845,2347590337898012,2347590337920344
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,1713373,1713373,524288000,1024,16896,0,24,0,32,64,0x0,22794814,22794814,491520000,0,16384000,442368000,32768000,8192000,0,29266279,2063168,1648448,3291392,3288576,2873792,3275648,3273600,3270336,3267072,3261056,3254912,0,0,0,0,0,84836560,67818076,135518232,135621907,118633007,135629676,135674899,135722368,135715698,135610580,135795478,0,0,0,0,0,22279,23567,25321,31834,22725,21718,20107,20382,18729,22214,21368,28793,23198,25933,23203,22740,23862,27932,23008,20713,23193,18070,25354,21779,28358,21462,22537,20322,20379,20192,18829,24470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280400,561430,277743,523498,275418,553769,280267,509158,292379,546563,278099,511553,276318,563208,270781,526054,278529,561203,273199,527773,416314,545301,274083,508813,278873,545412,280381,510785,280325,558084,278205,523479,6144032,6144040,6144028,6144040,6144028,6144028,6144028,6144043,6144417,6144027,6144028,6144048,6144028,6144040,6144028,6144040,6144028,6144040,6144027,6144044,6144029,6144027,6144028,6144040,6144032,6144032,6144028,6144039,6144036,6144039,6144029,6144040,2843900,2348550,4760737,4732536,4181907,4879163,4880728,4939663,4983125,4990761,5038431,0,0,0,0,0,2347590091774957,2347590338792893,2347590353977702,2347590353997534
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,1713373,1713373,65536000,128,8192,0,64,0,32,64,0x0,19152941,19152941,397312000,0,73728000,397312000,24576000,8192000,262144000,195351957,1544592,1235424,2469264,2462352,2152512,2459664,2455728,2452320,2450592,2448288,2445264,0,0,0,0,0,82975449,66275778,132764000,132819587,116211864,132781461,133114900,133050236,133055965,133026888,133170291,0,0,0,0,0,5514000,5529343,5475626,5194011,5415263,5607953,5437363,5294507,6621405,5418959,5332734,5435061,5228743,5684551,5527025,5388601,5367680,5467747,5720577,5703665,5409072,5267107,5196028,5230557,5389564,5365362,5204435,5564026,5692117,5623891,5861275,5505514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339495,2144460,2334300,2138096,2335172,2144464,2335360,1920297,1748511,2144511,2335172,2027965,2339408,2144464,2334441,2137908,2339408,2144464,2334300,2137955,2337290,2144511,2335219,1934486,2335172,2144464,2335360,1926655,2339408,2239476,2334736,2138096,6144009,6144017,6144008,6144012,6144008,6144012,6144012,6144015,6144007,6144013,6144008,6144015,6144008,6144012,6144011,6144008,6144008,6144012,6144008,6144009,6144008,6144013,6144009,6144012,6144008,6144012,6144013,6144016,6144008,6144012,6144008,6144012,18933307,15050044,30339531,30316869,26495649,30327529,30600249,30549359,30705883,30619712,30824363,0,0,0,0,0,2347590092891926,2347590354872262,2347590367628109,2347590367650304
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,1713373,1713373,524288000,1024,16896,0,12,0,32,64,0x0,21975904,21975904,319488000,0,16384000,270336000,8192000,8192000,0,30674610,513392,410784,821392,820800,718064,819664,818896,818192,817696,817248,815872,0,0,0,0,0,26002056,20956025,41901435,41940279,36766047,42021127,41967240,42212004,42263000,42182288,42228866,0,0,0,0,0,627169,645378,573683,563637,579830,547931,567638,541298,594082,578963,645372,674078,543127,670080,650019,698072,695945,630967,643609,700474,739945,619183,705606,659429,602218,622651,622037,655545,696006,764233,637209,630621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,331,0,0,94,0,0,0,0,0,0,0,0,188,0,0,47,0,0,0,0,0,0,0,0,6144001,6144001,6144001,6144000,6144000,6144000,6144000,6144000,6144005,6144000,6144000,6144002,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144004,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,5081324,4205922,8457045,8584514,7558288,8682132,8697632,8990299,9097293,9005620,9183150,0,0,0,0,0,2347590094011675,2347590368521490,2347590383160050,2347590383186640
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,1713373,1713373,524288000,8,0,0,16,0,32,64,0x0,328214353,328214353,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283842657,227254027,454320231,454443073,397775947,454528243,454499750,454684505,454541340,454662135,454338222,0,0,0,0,0,1737,1696,1723,1701,1702,1706,1698,1804,1756,1712,1840,1765,1809,1600,1752,1780,1804,1765,1707,1636,1648,1754,1866,1762,1767,1628,1697,1802,1772,1732,1724,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498,3530,5316,3564,5443,3515,5056,1660,82730,3777,5753,2098,3749,3804,5715,3760,3331,3458,5127,3326,3360,3340,5013,1675,5833,3865,5898,2465,4131,3955,5972,3939,4096012,4096008,4096012,4096008,4096016,4096008,4096012,4096004,4096017,4096008,4096012,4096008,4096010,4096008,4096012,4096008,4096009,4096010,4096012,4096008,4096008,4096008,4096012,4096004,4096016,4096008,4096012,4096006,4096012,4096008,4096012,4096008,50744103,40791038,81380601,81491558,71481030,81625486,81592375,81796216,81645566,81782472,81450987,0,0,0,0,0,2347590095049023,2347590384056356,2347590602851824,2347590602884054
