length 256," batch 1048576"
256," fft_test_len_256_factors_8_2_2_2_2_2_wgs_64_tpt_64"," 5.33ms "
256," fft_test_len_256_factors_2_2_2_4_2_4_wgs_64_tpt_64_dirReg"," 5.34ms "
256," fft_test_len_256_factors_4_2_4_2_4_wgs_64_tpt_64_dirReg"," 5.34ms "
256," fft_test_len_256_factors_8_2_4_4_wgs_64_tpt_64"," 5.35ms "
256," fft_test_len_256_factors_4_2_4_2_4_wgs_64_tpt_64"," 5.36ms "
256," fft_test_len_256_factors_4_2_4_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.37ms "
256," fft_test_len_256_factors_2_4_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 5.37ms "
256," fft_test_len_256_factors_4_2_4_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.37ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_4_wgs_64_tpt_64_dirReg"," 5.38ms "
256," fft_test_len_256_factors_2_2_2_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 5.38ms "
256," fft_test_len_256_factors_4_2_2_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.38ms "
256," fft_test_len_256_factors_4_2_2_2_2_4_wgs_64_tpt_64_dirReg"," 5.38ms "
256," fft_test_len_256_factors_4_2_2_2_4_2_wgs_64_tpt_64_dirReg"," 5.38ms "
256," fft_test_len_256_factors_8_2_2_2_4_wgs_64_tpt_64"," 5.38ms "
256," fft_test_len_256_factors_2_4_2_4_4_wgs_64_tpt_64"," 5.38ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_64_tpt_64"," 5.38ms "
256," fft_test_len_256_factors_4_2_4_8_wgs_64_tpt_64"," 5.38ms "
256," fft_test_len_256_factors_4_4_2_8_wgs_64_tpt_64"," 5.38ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.39ms "
256," fft_test_len_256_factors_2_2_2_4_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.39ms "
256," fft_test_len_256_factors_4_2_2_4_2_2_wgs_64_tpt_64"," 5.39ms "
256," fft_test_len_256_factors_4_4_2_2_2_2_wgs_64_tpt_64_dirReg"," 5.39ms "
256," fft_test_len_256_factors_4_2_2_2_8_wgs_64_tpt_64"," 5.39ms "
256," fft_test_len_256_factors_2_2_4_4_4_wgs_64_tpt_64"," 5.39ms "
256," fft_test_len_256_factors_4_2_4_4_2_wgs_64_tpt_64_dirReg"," 5.39ms "
256," fft_test_len_256_factors_4_4_2_4_2_wgs_64_tpt_64_dirReg"," 5.39ms "
256," fft_test_len_256_factors_4_2_8_4_wgs_64_tpt_64_halfLds_dirReg"," 5.39ms "
256," fft_test_len_256_factors_2_2_2_2_2_2_4_wgs_64_tpt_64"," 5.4ms "
256," fft_test_len_256_factors_4_2_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.4ms "
256," fft_test_len_256_factors_4_2_2_4_2_2_wgs_64_tpt_64_dirReg"," 5.4ms "
256," fft_test_len_256_factors_8_2_4_2_2_wgs_64_tpt_64"," 5.4ms "
256," fft_test_len_256_factors_2_2_4_4_4_wgs_64_tpt_64_dirReg"," 5.4ms "
256," fft_test_len_256_factors_2_4_2_4_4_wgs_64_tpt_64_dirReg"," 5.4ms "
256," fft_test_len_256_factors_4_4_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 5.4ms "
256," fft_test_len_256_factors_4_4_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 5.4ms "
256," fft_test_len_256_factors_4_4_2_4_2_wgs_64_tpt_64"," 5.4ms "
256," fft_test_len_256_factors_8_4_2_4_wgs_64_tpt_64"," 5.4ms "
256," fft_test_len_256_factors_8_4_4_2_wgs_64_tpt_64"," 5.4ms "
256," fft_test_len_256_factors_2_4_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 5.41ms "
