"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","202","287049622","1421037","23.12"
"fft_rtc_back_len4096_factors_16_16_16_wgs_256_tpt_256_halfLds_dim1_dp_ip_CI_unitstride_sbrr_dirReg","101","221676800","2194819","17.854"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","101","203537029","2015218","16.393"
"fft_rtc_back_len64_factors_8_8_wgs_256_tpt_8_dp_ip_CI_sbcc_twdbase8_2step_dirReg_intrinsicRead","101","186911628","1850610","15.054"
"fft_rtc_back_len128_factors_8_4_4_wgs_128_tpt_16_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg","101","171419965","1697227","13.807"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd4step_back_diag_aligned","101","167834930","1661731","13.518"
"twiddle_gen_N_dp","1","3017210","3017210","0.243"
"twiddle_gen_radices_dp","3","117597","39199","0.009"
"twiddle_gen_large_dp","2","13120","6560","0.001"
"Total","713","1241577901","1741343","100.0"
