"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1410116287","176264535","82.8581783411475"
"hipModuleLaunchKernel","30007","181835695","6059","10.684632596614"
"hipDeviceSynchronize","2","62797023","31398511","3.6899417296264"
"hipMalloc","10","16270953","1627095","0.956078259561602"
"hiprtcCreateProgram","8","7892315","986539","0.463751003958522"
"hipGetDevice","20030","7449405","371","0.437725692353085"
"hipSetDevice","20023","7429650","371","0.436564892121061"
"hipModuleGetFunction","9","4732304","525811","0.278069328332299"
"hipMemcpy","5","1337941","267588","0.0786171715127018"
"hipModuleLoadData","9","671262","74584","0.03944323388248"
"hipStreamSynchronize","4","442961","110740","0.0260283083562264"
"hipModuleUnload","9","422120","46902","0.024803694960347"
"hiprtcDestroyProgram","8","260440","32555","0.0153034073615862"
"hipStreamDestroy","1","110090","110090","0.00646886851649911"
"hipFree","10","50800","5080","0.00298499882494464"
"hiprtcGetCode","8","8980","1122","0.000527663178110292"
"hipStreamCreate","1","5390","5390","0.000316715426504952"
"hipGetDeviceProperties","3","4810","1603","0.000282634731259522"
"hiprtcGetCodeSize","8","3900","487","0.000229163295615828"
"hipGetDeviceCount","1","890","890","5.22962392559198e-05"
"Total","70164","1701843216","24255","100.0"
