Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,3855583,3855583,2048,1024,0,0,32,0,48,64,0x7f52acffdf80,36288,36288,23744,0,0,23552,96,224,0,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5177,0,4999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,13,12,12,12,16,12,12,12,15,12,18,16,16,12,12,15,12,13,12,15,14,12,12,12,16,12,12,12,6,4,4,4,6,4,4,4,8,5,4,4,7,4,8,8,8,4,4,7,4,5,4,7,6,4,4,4,8,4,5,4,0,0,0,0,0,0,0,0,1043,0,1050,0,0,0,0,0,2330253215086350,2330253220629204,2330253220644564,2330253220655373
1,twiddle_gen_large_dp,0,1,2,3855583,3855583,8192,1024,0,0,32,0,32,64,0x7f52acffde80,21450,21450,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,668,628,676,0,0,711,0,0,1394,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,0,0,0,28,0,7,0,28,0,0,0,0,23,0,0,21,0,0,0,0,0,0,28,11,4,8,4,9,4,8,4,12,5,8,4,12,4,9,4,12,4,8,4,8,5,8,4,11,4,8,4,8,4,9,8,502,595,555,603,0,0,638,0,0,1248,636,0,0,0,0,0,2330253343010429,2330253344617857,2330253344622497,2330253344632336
2,twiddle_gen_radices_dp,0,1,4,3855583,3855583,8192,1024,0,0,32,0,48,64,0x7f52acffdd80,31586,31586,48352,0,0,47584,384,400,0,0,0,48,96,48,48,0,0,48,0,0,96,0,0,0,0,0,0,3810,5661,2958,2908,0,0,2856,0,0,6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,18,18,18,26,19,18,22,42,18,19,20,40,19,56,46,46,18,18,40,19,27,19,43,33,19,18,21,46,20,19,19,12,8,8,8,10,8,8,8,10,9,8,8,11,8,12,12,12,8,8,11,8,9,8,11,10,8,8,8,12,8,9,8,0,987,1385,814,678,0,0,672,0,0,1527,0,0,0,0,0,2330253350896352,2330253352005053,2330253352015293,2330253352017217
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,3855583,3855583,524288000,8,0,0,16,0,32,64,0x7f52acffe680,328217762,328217762,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227894138,228323535,455902063,456224052,455665847,456144316,455788549,456335253,455875142,456674066,456047415,0,0,0,0,0,40101,40317,40153,40365,39949,40064,40278,40322,39639,40042,40039,40658,40296,40458,40199,40337,40133,40185,40124,40272,39906,40193,39354,40501,40339,40056,40045,39697,40283,40620,40028,39988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5879,3667,3637,5338,5882,3550,75693,5387,4020,6102,3992,6084,6694,4047,8838,10252,6147,3706,3521,5282,3524,3522,4756,4794,6663,4089,4155,6167,6809,4037,4038,6081,4096022,4096008,4096008,4096012,4096020,4096008,4096065,4096012,4096010,4096055,4096008,4096016,4096018,4096008,4096053,4096102,4096019,4096008,4096008,4096013,4096008,4096008,4096056,4096011,4096058,4096009,4096008,4096012,4096030,4096008,4096009,4096012,41536626,41953856,83162533,83489314,82937004,83422171,83073786,83640036,83159365,84003793,83380278,0,0,0,0,0,2330253398882164,2330253400083420,2330253618878992,2330253618919352
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,3855583,3855583,524288000,1024,16384,0,12,0,32,64,0x7f52acffe600,22132140,22132140,319488000,0,16384000,270336000,8192000,8192000,458752000,168483652,411520,410992,821120,820976,820528,819248,819584,818112,817296,816640,815984,0,0,0,0,0,22638726,22721726,45604481,45636515,45595198,45699945,45619580,45708032,45719056,45663066,45705128,0,0,0,0,0,851169,926243,758166,810998,889069,901751,1140279,896113,895466,928018,960571,875992,941309,951923,866163,935458,853648,857385,874284,879323,792229,937124,1316256,813481,880683,904729,873850,843675,929724,877869,828639,868407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,3218,1706,1799,4019,4098,24032,2028,1924,4521,2239,2009,4491,4005,1801,2267,4163,2807,1918,2189,1794,3736,31428,2509,2621,3875,2097,1696,4007,3704,2136,1846,6144031,6144033,6144023,6144023,6144030,6144044,6144166,6144022,6144022,6144049,6144024,6144023,6144034,6144044,6144023,6144023,6144032,6144035,6144022,6144023,6144019,6144045,6144265,6144023,6144023,6144044,6144023,6144024,6144030,6144034,6144023,6144023,5340093,5417141,11048342,11066802,11079926,11204193,11226040,11370681,11368602,11331451,11402085,0,0,0,0,0,2330253400105379,2330253619778672,2330253634521235,2330253634543917
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,3855583,3855583,65536000,64,4096,0,64,0,32,64,0x7f52acffe580,19550233,19550233,324608000,0,49152000,324608000,22528000,8192000,262144000,60523036,1126620,1127808,2254054,2254142,2253680,2254384,2252360,2252910,2251480,2250006,2250556,0,0,0,0,0,67654632,70663399,138698717,139172523,139122517,139318977,140047871,140276175,139950530,140447420,140839147,0,0,0,0,0,7239482,6316675,6356912,6697123,6183902,6634021,6818970,6690056,6225593,6436864,6212343,6798871,6347921,6772369,6216261,6339684,6662961,6439645,6550744,6499572,6448134,6582856,6468558,6519488,6923345,6646618,6141122,6328628,6323768,5846330,6731175,6721425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757516,1029498,1147416,964094,1122410,1133266,1099762,1133598,1009519,1123278,1115800,1123571,1149120,1154225,1006251,776139,1122523,1098827,1125215,754112,1130306,1150211,1130144,1006352,1034089,1006550,1031709,1119828,1096698,1119467,1100947,769202,5541777,5544496,5548633,5547495,5542569,5544960,5544860,5544470,5543296,5545590,5549327,5543844,5546709,5542405,5546598,5545115,5545692,5544238,5543832,5545568,5547489,5546414,5549364,5547106,5541352,5547058,5543885,5545142,5547737,5545496,5543717,5543553,10814646,12438519,23401893,23467176,23516950,23675416,24075694,24257289,24019079,24476497,24418928,0,0,0,0,0,2330253401729426,2330253635417715,2330253648437879,2330253648456136
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,3855583,3855583,524288000,1024,16384,0,24,0,32,64,0x7f52acffe500,22843614,22843614,491520000,0,16384000,442368000,32768000,8192000,458752000,29588550,1651072,1649152,3292480,3286464,3282176,3278208,3274304,3269760,3266048,3261888,3256448,0,0,0,0,0,66918528,66818572,133632942,133763689,133707193,133664595,133788204,133885480,133851312,133708617,133752917,0,0,0,0,0,16870,16129,22245,16169,23315,16913,18052,23367,17196,21466,18826,12676,9718,25722,16925,17933,24216,17091,15208,14849,21647,13991,22737,18059,20249,19314,15176,12148,13901,15462,14239,14905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462795,593158,463065,548642,459546,581311,482129,528449,459598,576909,465518,534279,461589,592778,458485,549150,465887,589706,462265,552613,632074,575254,462577,531503,465196,570123,465146,534115,463748,588910,462610,548919,6144028,6144028,6144040,6144031,6144028,6144028,6144428,6144031,6144040,6144029,6144044,6144028,6144028,6144028,6144040,6144040,6144027,6144027,6144041,6144040,6144042,6144028,6144045,6144027,6144036,6144032,6144040,6144028,6144027,6144027,6144040,6144028,2418769,2453587,4927523,4966187,4995124,5103517,5016709,5095116,5142753,5217531,5268981,0,0,0,0,0,2330253403041902,2330253649334679,2330253664551962,2330253664573604
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,3855583,3855583,65536000,128,8192,0,64,0,32,64,0x7f52acfff480,19140234,19140234,397312000,0,73728000,397312000,24576000,8192000,262144000,196215854,1236048,1235952,2465184,2466240,2459088,2461104,2457456,2455056,2450976,2444064,2444832,0,0,0,0,0,66392024,66371122,132835015,132857745,132890420,132917573,132933801,132991080,132844855,133085750,133098819,0,0,0,0,0,5536256,5665274,5549356,5569936,5450723,5336837,5831370,5858866,6421192,5290608,5624880,5566767,5561705,6139867,5394714,5570345,5593058,5889251,5436261,5121208,5415321,5603393,5310251,5968300,5504793,5659736,5763427,6116752,5924478,5656354,5493089,5640706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331824,2138860,2326888,2132680,2327020,2138860,2326886,1915803,1742536,2138907,2327024,2023228,2331824,2138860,2326888,2132868,2331824,2138860,2326888,2132868,2329424,2138907,2327027,1929876,2327024,2138860,2326883,1922595,2331824,2232780,2326956,2132727,6144012,6144008,6144012,6144008,6144016,6144008,6144013,6144012,6144010,6144010,6144012,6144011,6144012,6144008,6144012,6144012,6144012,6144008,6144013,6144013,6144012,6144009,6144013,6144008,6144012,6144008,6144009,6144011,6144012,6144008,6144012,6144009,15188701,15059861,30318731,30420695,30522658,30465424,30560550,30476462,30651754,30932738,30897620,0,0,0,0,0,2330253404243157,2330253665448123,2330253678193566,2330253678211451
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,3855583,3855583,524288000,1024,16384,0,12,0,32,64,0x7f52acfff400,22148236,22148236,319488000,0,16384000,270336000,8192000,8192000,458752000,160725103,411008,410784,820880,821008,820064,819552,818880,818160,817680,817232,816752,0,0,0,0,0,20631034,20698764,41441149,41497722,41488662,41564142,41579995,41626999,41628811,41723694,41794041,0,0,0,0,0,493501,534227,549134,497851,434549,386236,497749,477270,519700,493913,381837,455507,462315,445042,491333,458456,417486,435757,443912,413732,518928,455870,498759,501753,520032,473512,456208,541851,408308,506962,440033,457288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,69,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,100,47,0,0,0,0,0,188,0,0,6144000,6144004,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144001,6144000,6144002,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144001,6144000,6144000,6144000,6144000,6144000,6144004,6144000,6144000,3605357,3722654,7449316,7515627,7553466,7695429,7721036,7801718,7845724,7996733,8066507,0,0,0,0,0,2330253405421162,2330253679090632,2330253693843748,2330253693879567
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,3855583,3855583,524288000,8,0,0,16,0,32,64,0x7f52acfff380,328215393,328215393,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226276713,226337175,452929445,452557964,452892696,452781014,452910705,452763446,452844560,452764251,452957356,0,0,0,0,0,1758,1614,1746,1785,1740,1660,1853,1747,1713,1696,1628,1756,1673,1739,1624,1698,1661,1703,1741,1790,1690,1747,1743,1747,1621,1712,1706,1671,1732,1654,1691,1664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530,3069,3062,4492,3154,3048,61945,4052,3408,3313,3345,3469,4817,3381,3353,4953,4332,3074,2910,4288,2911,2966,3036,2823,3457,3361,3374,3225,3494,3382,3393,5075,4096014,4096008,4096008,4096012,4096012,4096008,4096011,4096012,4096010,4096008,4096008,4096012,4096012,4096008,4096008,4096012,4096013,4096010,4096008,4096012,4096008,4096008,4096008,4096008,4096012,4096008,4096008,4096008,4096014,4096008,4096008,4096012,39619137,39686274,79642235,79269393,79617340,79513535,79626865,79484114,79569352,79490934,79701876,0,0,0,0,0,2330253406658237,2330253694741273,2330253913536823,2330253913573863
10,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,35,3855583,3855583,524288000,1024,16384,0,12,0,32,64,0x7f52acfff280,22146957,22146957,319488000,0,16384000,270336000,8192000,8192000,458752000,161944967,411392,410928,821296,821296,819792,819536,818848,818096,817776,816752,816288,0,0,0,0,0,20638740,20710286,41484874,41550755,41519898,41579780,41619088,41641211,41643904,41671184,41760110,0,0,0,0,0,453979,434678,525693,543060,546302,469918,427081,403203,485707,471280,422933,478023,481366,511644,503660,413732,478659,474447,543582,584413,454669,443146,421122,535144,440810,514217,483150,391711,485388,454600,534147,476095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,188,0,0,0,0,0,19,0,0,0,0,0,0,141,0,0,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144004,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144003,6144000,6144000,3572552,3687875,7529702,7581340,7595045,7682212,7751551,7818726,7829751,7876983,8026158,0,0,0,0,0,2330253408001763,2330253914441143,2330253929193785,2330253929213149
