"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1731876765","346375353","37.2427317345907"
"hiprtcCompileProgram","7","1605387301","229341043","34.5226691584269"
"hipFree","11","1132175439","102925039","24.3465972887334"
"hipMalloc","11","55473763","5043069","1.19292233458497"
"hipModuleLaunchKernel","33","52947403","1604466","1.13859482719734"
"hipModuleGetFunction","10","38948465","3894846","0.837557996494684"
"hipLaunchKernel","6","12968947","2161491","0.278887634364172"
"hipModuleLoadData","10","12954412","1295441","0.278575069915764"
"hiprtcCreateProgram","7","3365416","480773","0.0723707874580206"
"hipStreamSynchronize","3","3147533","1049177","0.0676853743371119"
"hipModuleUnload","10","304871","30487","0.00655602586518701"
"hiprtcDestroyProgram","7","268441","38348","0.00577262559993133"
"hipStreamDestroy","1","142751","142751","0.00306975490709615"
"hipMemcpy","5","123710","24742","0.00266029225404281"
"hipEventRecord","10","73050","7305","0.00157088634029446"
"hipGetDevice","64","12920","201","0.000277835065251257"
"hipGetDeviceProperties","9","11750","1305","0.000252675078692127"
"hipSetDevice","61","11740","192","0.000252460036071963"
"hipEventElapsedTime","5","9221","1844","0.000198290800052774"
"hipMemGetInfo","1","8820","8820","0.000189667590984218"
"hiprtcGetCode","7","5870","838","0.000126230018035982"
"__hipPushCallConfiguration","6","5110","851","0.000109886778903555"
"__hipPopCallConfiguration","6","4200","700","9.0317900468675e-05"
"hipStreamCreate","1","3530","3530","7.59100449177197e-05"
"hipEventCreate","2","3360","1680","7.225432037494e-05"
"hipEventDestroy","2","2180","1090","4.68792911956456e-05"
"hipGetLastError","6","1790","298","3.84926290092686e-05"
"hiprtcGetCodeSize","7","1610","230","3.46218618463254e-05"
"hipGetDeviceCount","1","590","590","1.26875145896472e-05"
"Total","314","4650240958","14809684","100.0"
