Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,3856113,3856113,65536000,64,4096,0,64,0,32,64,0x7f368c9fe580,19579494,19579494,324608000,0,49152000,324608000,22528000,8192000,262144000,59906634,1128622,1127522,2255352,2253570,2253636,2253548,2252448,2250952,2251084,2250556,2250710,0,0,0,0,0,70181236,69048397,139696006,139770020,139979264,140219582,140424187,140810351,141018670,141206036,141790249,0,0,0,0,0,7813791,6906190,6885399,6602255,6337079,6607332,6277023,7124084,6990356,6389927,6840345,6450320,6335800,6074998,6831914,6617555,6738286,7091631,6227128,6726652,6280616,6725237,6793067,6493461,6425091,6108546,7073613,6747958,6748926,6483951,6573463,6547295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735353,1009558,1130777,945340,1103114,1114786,1083733,1114069,988578,1104918,1099907,1102612,1131736,1135983,989423,754534,1105019,1080523,1108729,733430,1114396,1132778,1112310,992912,1013963,988740,1012525,1100909,1080630,1099788,1081965,745065,5567332,5571080,5571697,5571191,5568601,5569627,5567397,5570383,5570873,5570487,5572068,5571164,5570697,5567089,5570249,5570528,5569750,5568938,5566760,5569900,5569612,5570214,5573634,5567373,5568005,5571486,5569616,5570916,5570440,5572220,5569235,5571494,11999080,11310646,23677832,23828070,23857111,24183445,24381949,24486711,24563088,24861898,25071284,0,0,0,0,0,2330275321988853,2330275555514248,2330275568550412,2330275568586652
1,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,3856113,3856113,65536000,128,8192,0,64,0,32,64,0x7f368c9ff480,19154089,19154089,397312000,0,73728000,397312000,24576000,8192000,262144000,196909850,1234560,1233456,2466624,2460048,2462064,2459616,2459664,2452704,2449632,2449536,2448096,0,0,0,0,0,66387974,66468327,132960080,132966544,133040219,132923843,133055965,133040930,133117942,133164837,133140111,0,0,0,0,0,5621428,5420371,5382623,5499196,5570774,5191280,5559565,5203749,6641370,5159695,5392607,5596808,5290898,5510154,5706217,5563703,5291532,5367410,5539389,5528857,5398754,5417910,5354159,5824523,5510316,5516822,5452339,5687711,5531212,5108828,5659231,5446446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329911,2135588,2324572,2129851,2325612,2135592,2325470,1914810,1741492,2135639,2325612,2021655,2329844,2135591,2324572,2129996,2329844,2135592,2324572,2129996,2327730,2135635,2325612,1929459,2325612,2135592,2325422,1922059,2329843,2229988,2325091,2129808,6144013,6144012,6144012,6144014,6144012,6144008,6144011,6144012,6144010,6144009,6144012,6144014,6144012,6144010,6144012,6144012,6144012,6144008,6144012,6144012,6144013,6144013,6144012,6144012,6144012,6144008,6144010,6144015,6144013,6144008,6144013,6144008,15049075,15192334,30287958,30520545,30355994,30508750,30386187,30482204,30629420,30706408,30819756,0,0,0,0,0,2330275326188951,2330275584667857,2330275597421942,2330275597443534
2,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,36,3856113,3856113,65536000,64,4096,0,64,0,32,64,0x7f368c9ff200,19585635,19585635,324608000,0,49152000,324608000,22528000,8192000,262144000,59882521,1128094,1127390,2256188,2253966,2254142,2253548,2252338,2250270,2251986,2250050,2250028,0,0,0,0,0,70628404,67963915,138959834,139506700,139521100,139703038,139720598,140458481,140234492,140835200,140863304,0,0,0,0,0,7824147,6523897,6400688,6609366,6129634,6819345,6651334,6515397,6366413,6478395,6383407,6316961,6444703,6829818,6908876,6751411,6799794,6630245,6080914,6261933,6422302,6608115,6328788,6326560,6489252,6225210,6355962,6514674,6624622,6292277,6523051,6461420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766665,1044094,1162413,977660,1132977,1144527,1113157,1146733,1022332,1137502,1128978,1137195,1164941,1167757,1022099,788504,1136101,1112353,1138803,767139,1143762,1165124,1141390,1023660,1048809,1020768,1045530,1135727,1111874,1132804,1113389,780337,5535372,5535088,5538310,5538975,5536360,5537867,5535505,5535706,5535083,5535756,5540614,5534481,5535744,5533518,5535528,5537357,5536591,5534732,5534544,5536655,5538267,5536095,5542500,5534600,5531679,5537531,5535134,5533717,5536714,5536823,5535332,5536354,12192801,10877390,23280125,23679620,23740077,23762403,23801207,24468371,24142295,24407085,24475297,0,0,0,0,0,2330275327602337,2330275846636890,2330275859678010,2330275859700648
3,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,38,3856113,3856113,65536000,128,8192,0,64,0,32,64,0x7f368c9ff100,19164014,19164014,397312000,0,73728000,397312000,24576000,8192000,262144000,197664612,1235616,1234896,2465040,2466336,2461392,2462784,2453904,2452512,2447664,2446704,2449152,0,0,0,0,0,66555194,66441082,133023867,133158521,133084128,133081458,133156049,133120542,133221827,133261737,133237293,0,0,0,0,0,5549659,5576946,5746276,5750406,5354570,5542158,5353046,5314253,6539505,5387142,5426959,5946320,5294132,5475857,5611349,5339443,5278700,5761109,5382695,5361121,5476593,5551798,5578520,5411195,5073317,5514550,5211666,5403847,5730422,5908966,5677555,5814458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325140,2132632,2319204,2126907,2320232,2132632,2320095,1910789,1737320,2132679,2320236,2018098,2325048,2132632,2319203,2127048,2325048,2132632,2319204,2127048,2322643,2132773,2320230,1925128,2320232,2132632,2320048,1918050,2325048,2225824,2319720,2126860,6144014,6144008,6144012,6144010,6144016,6144008,6144009,6144012,6144010,6144009,6144012,6144010,6144012,6144008,6144013,6144012,6144012,6144008,6144012,6144012,6144013,6144011,6144018,6144008,6144016,6144008,6144008,6144015,6144012,6144008,6144012,6144008,15223530,15085740,30433705,30318432,30488577,30513319,30606898,30684251,30896905,30709619,30591252,0,0,0,0,0,2330275328959222,2330275875793850,2330275888553690,2330275888577860
4,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,44,3856113,3856113,65536000,64,4096,0,64,0,32,64,0x7f368c9fee00,19592717,19592717,324608000,0,49152000,324608000,22528000,8192000,262144000,60244908,1128490,1126796,2253922,2254868,2253174,2254340,2253658,2251832,2250754,2249764,2250402,0,0,0,0,0,71157974,68610355,140220119,140250516,140620607,140875044,141236439,141515485,141592538,141680766,142228112,0,0,0,0,0,8355357,6146148,6704960,6377356,6180954,6777731,6450846,6397131,6928891,6488596,6650048,6124240,6501538,6646840,6532467,6420488,6468676,6598863,6447580,6687830,6892203,6446561,6720198,6661388,6835829,6549518,6094291,6390279,6532613,6754373,6530255,6664811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720497,998720,1118815,933518,1091676,1103315,1072197,1103377,977087,1093705,1087398,1094301,1122875,1124623,977752,742836,1094786,1067200,1096470,719198,1102597,1120818,1102411,979857,1003262,979032,1002184,1089772,1070079,1090370,1069892,731368,5583452,5585513,5588390,5587120,5584161,5585454,5582824,5585450,5585515,5585800,5588719,5583561,5584296,5583162,5585069,5585464,5584078,5586084,5583115,5585964,5585770,5586907,5587843,5583589,5582299,5584346,5583526,5586198,5584764,5585788,5585082,5587594,12586004,11205449,23990336,24016803,24292106,24307315,24580768,24665513,24871780,24945217,25317029,0,0,0,0,0,2330275904288296,2330276137845568,2330276150890689,2330276150912295
5,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,46,3856113,3856113,65536000,128,8192,0,64,0,32,64,0x7f368c9fed00,19161520,19161520,397312000,0,73728000,397312000,24576000,8192000,262144000,198707791,1234992,1237440,2464992,2462112,2461008,2460144,2453376,2455632,2451456,2448672,2446176,0,0,0,0,0,66486016,66489330,133085840,133157838,133107394,133094395,133121420,133221638,133270008,133187413,133288949,0,0,0,0,0,5528859,5630678,5608130,5590573,5634160,5504849,5350903,5792457,6534953,5866488,5768831,5819712,5602953,5337215,5872435,5108948,5454289,5630172,5312937,5348048,5642020,5671744,5514541,6092244,5488295,5162400,5974474,5464391,5386789,5652827,5479826,5460043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323813,2131184,2319252,2125059,2319758,2131184,2319615,1908155,1737188,2131230,2319760,2015675,2323796,2131184,2319252,2125200,2323796,2131184,2319252,2125200,2321781,2131231,2319854,1923215,2319760,2131184,2319572,1916333,2323796,2225124,2319506,2125012,6144013,6144008,6144012,6144010,6144014,6144008,6144014,6144012,6144010,6144010,6144012,6144011,6144012,6144009,6144012,6144012,6144012,6144008,6144012,6144012,6144013,6144009,6144014,6144008,6144012,6144008,6144008,6144015,6144012,6144008,6144012,6144008,15104606,14973874,30252961,30463743,30505611,30532108,30803173,30641524,30943013,30676110,30902263,0,0,0,0,0,2330275905293000,2330276167004289,2330276179761890,2330276179784097
6,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,52,3856113,3856113,65536000,64,4096,0,64,0,32,64,0x7f368c9fea00,19576236,19576236,324608000,0,49152000,324608000,22528000,8192000,262144000,59845664,1127434,1128160,2255462,2254626,2253064,2253768,2253636,2251920,2250116,2250182,2249632,0,0,0,0,0,68345567,71165969,140170170,140260903,140719813,141069020,141014764,141469781,142126083,142168315,142178520,0,0,0,0,0,7944635,6669675,6603326,6636539,6300987,6736000,6885250,6438917,6391027,6959763,6491003,6441380,6705533,6738468,6567661,6826688,6666676,6506409,6541797,6736237,6740895,6784518,6488035,6537776,6790684,6377567,6940551,6509864,6788014,6162651,6456386,6741404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711422,991667,1110981,928043,1081537,1096374,1062932,1097219,968718,1087513,1081151,1086020,1111793,1118713,970490,732608,1087655,1063000,1088274,713694,1092904,1114171,1093453,973361,994068,970837,993497,1084250,1062791,1083716,1062874,725794,5593277,5593335,5596155,5592288,5594363,5592289,5592101,5591497,5594693,5592381,5594915,5592193,5595314,5589027,5593153,5595301,5591650,5590354,5591714,5591621,5595417,5593503,5596802,5590994,5592398,5593463,5593136,5591677,5592154,5592398,5592198,5593338,11002029,12532431,23952968,23970274,24268101,24764177,24558736,24833561,25345820,25271062,25232502,0,0,0,0,0,2330276195480823,2330276429041565,2330276442075806,2330276442100532
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,54,3856113,3856113,65536000,128,8192,0,64,0,32,64,0x7f368c9fe900,19156635,19156635,397312000,0,73728000,397312000,24576000,8192000,262144000,196343055,1236288,1233216,2464128,2463264,2464944,2460432,2455152,2454288,2452320,2447424,2444544,0,0,0,0,0,66420022,66431329,132878974,132883466,132912298,132982375,132995499,133081670,133102150,133021617,133149235,0,0,0,0,0,5624311,5265111,5150343,5301307,5321680,5092598,5513257,5675437,6338770,5582896,5499387,5459111,5409215,5477684,5350520,5336649,5540899,5366807,5349272,5261899,5448073,5547431,5607788,5481433,5687176,5493938,5539794,5611507,5589050,5129767,5610628,5537550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334374,2141588,2329584,2135723,2329832,2141588,2329691,1919281,1744868,2141639,2329832,2026322,2334256,2141592,2329588,2135868,2334256,2141592,2329584,2135868,2332044,2141639,2329828,1933327,2329832,2141588,2329644,1925937,2334256,2235494,2329710,2135680,6144013,6144012,6144016,6144014,6144012,6144012,6144010,6144012,6144014,6144009,6144012,6144012,6144012,6144009,6144012,6144012,6144012,6144008,6144016,6144012,6144013,6144009,6144016,6144012,6144012,6144012,6144008,6144015,6144012,6144010,6144012,6144008,15255543,15250528,30296684,30440963,30659904,30529862,30622372,30677413,30687109,30777500,30606818,0,0,0,0,0,2330276196455507,2330276458192606,2330276470948447,2330276470968434
8,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,60,3856113,3856113,65536000,64,4096,0,64,0,32,64,0x7f368c9fe600,19592148,19592148,324608000,0,49152000,324608000,22528000,8192000,262144000,60804139,1128138,1127302,2254648,2254428,2253482,2252338,2252976,2252030,2251392,2251392,2249874,0,0,0,0,0,70762833,68910322,139994503,140351636,140973846,140923266,140944543,141101147,141845659,142033231,141946338,0,0,0,0,0,7696894,6681791,6484565,6895447,6656805,6672563,6676580,6675663,6352309,6175842,6853695,6393218,6803250,6564104,6838751,6723916,6824073,6549438,6568485,6622755,6770421,6853481,6444651,6171822,6607852,6573281,6358542,6920140,6919256,6821059,6576574,6664264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721882,1000988,1120660,937115,1094950,1107108,1072974,1105382,978936,1096680,1089667,1095409,1124740,1127914,981900,746839,1095362,1072121,1099912,723051,1102990,1123283,1106140,980732,1004189,978596,1003797,1092478,1071537,1092223,1069525,737122,5582638,5584615,5588148,5584444,5582251,5582992,5583181,5584760,5584920,5584409,5587798,5584055,5584030,5581524,5582170,5581801,5585167,5582325,5581279,5583211,5586716,5586097,5585576,5584022,5582840,5586103,5583412,5584938,5584517,5585282,5586669,5582382,12333687,11337040,23879900,24005798,24478904,24442616,24402917,24634723,25122593,25183000,25258037,0,0,0,0,0,2330276486679290,2330276720241430,2330276733286069,2330276733307138
9,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,62,3856113,3856113,65536000,128,8192,0,64,0,32,64,0x7f368c9fe500,19148523,19148523,397312000,0,73728000,397312000,24576000,8192000,262144000,196754445,1238112,1234992,2463744,2465664,2463984,2456688,2454432,2453232,2451024,2448432,2445696,0,0,0,0,0,66496172,66411170,132879720,132971000,133015290,133060200,133064233,132976549,133042740,133030336,133184929,0,0,0,0,0,5761839,5452614,5745938,5480902,5583260,5547519,5452856,5304507,6712055,5312634,5843593,5162196,5525572,5521254,5785676,5578752,5221495,5548255,5465202,5576705,5701901,5489876,5109365,5562105,5420883,5816816,5653575,5627816,5441929,5314248,5443714,5500720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2328849,2137540,2324396,2131039,2325244,2137540,2325107,1913970,1741242,2137587,2325248,2021560,2328804,2137540,2324392,2131180,2328804,2137634,2324396,2131180,2327030,2137587,2325248,1929087,2325248,2137540,2325060,1921751,2328804,2230874,2324822,2130992,6144013,6144008,6144012,6144010,6144016,6144008,6144010,6144010,6144012,6144009,6144012,6144009,6144012,6144009,6144016,6144012,6144012,6144010,6144012,6144012,6144013,6144009,6144012,6144008,6144012,6144008,6144008,6144015,6144012,6144008,6144012,6144008,15051670,15154675,30368757,30265072,30513909,30591439,30549642,30698888,30601059,30729609,30945303,0,0,0,0,0,2330276487661754,2330276749402226,2330276762152465,2330276762169510
