"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1730437190","346087438","40.4900613178007"
"hiprtcCompileProgram","7","1267990812","181141544","29.6693957024166"
"hipFree","11","1132026839","102911530","26.4880091513209"
"hipMalloc","11","55054732","5004975","1.28821172325537"
"hipModuleGetFunction","10","32213693","3221369","0.75376003959023"
"hipModuleLaunchKernel","33","26069448","789983","0.609992407780612"
"hipModuleLoadData","10","14937143","1493714","0.349510424000282"
"hipLaunchKernel","6","10250784","1708464","0.239855497277847"
"hiprtcCreateProgram","7","3480475","497210","0.0814387525762043"
"hipStreamSynchronize","3","288682","96227","0.00675479696627725"
"hipModuleUnload","10","284561","28456","0.00665837073153443"
"hiprtcDestroyProgram","7","263971","37710","0.00617659053901931"
"hipStreamDestroy","1","131861","131861","0.00308538212555783"
"hipMemcpy","5","123111","24622","0.00288064309279885"
"hipEventRecord","10","59750","5975","0.00139807510941128"
"hipEventElapsedTime","5","40670","8134","0.000951627024263708"
"hiprtcGetCode","7","13800","1971","0.000322902703094152"
"hipStreamCreate","1","11350","11350","0.00026557577392164"
"hipGetDevice","64","11080","173","0.000259258112339363"
"hipSetDevice","61","10740","176","0.000251302538495014"
"hipMemGetInfo","1","10210","10210","0.000238901202796471"
"hipGetDeviceProperties","9","9180","1020","0.000214800493797414"
"__hipPushCallConfiguration","6","2800","466","6.55164904828715e-05"
"__hipPopCallConfiguration","6","2510","418","5.87308539685741e-05"
"hipEventDestroy","2","2160","1080","5.05412926582151e-05"
"hipEventCreate","2","2090","1045","4.89033803961434e-05"
"hiprtcGetCodeSize","7","1390","198","3.25242577754255e-05"
"hipGetDeviceCount","1","1180","1180","2.76105209892101e-05"
"hipGetLastError","6","980","163","2.2930771669005e-05"
"Total","314","4273733192","13610615","100.0"
