Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdffffe600,22135043,22135043,319488000,0,16384000,270336000,8192000,8192000,458752000,167964261,411200,411232,821392,820544,819600,819536,819024,818624,817376,817280,816192,0,0,0,0,0,22834200,22834632,45874547,45830094,45885705,45876861,45888543,45951036,45969377,45993600,46087900,0,0,0,0,0,953949,985093,861595,848204,963081,880448,986420,1019804,951910,925589,893186,888111,990392,901978,921720,1050521,920436,868276,1003192,963827,986454,1056048,972763,960037,938543,937803,941869,855954,1669092,978719,959923,1013598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,1859,3146,2000,3243,2798,3253,2476,3610,4422,2876,2141,2606,2024,3515,2117,3383,1934,3159,2110,3303,4330,3280,1849,3322,2321,2514,2109,58827,2476,3160,1838,6144024,6144024,6144035,6144021,6144033,6144027,6144032,6144022,6144035,6144031,6144030,6144024,6144025,6144021,6144036,6144023,6144036,6144023,6144037,6144023,6144033,6144028,6144032,6144023,6144034,6144027,6144031,6144023,6144419,6144021,6144034,6144024,5604489,5593370,11500272,11432333,11558850,11483793,11556118,11629788,11714147,11729705,11875336,0,0,0,0,0,2330282582186559,2330282800981721,2330282815721723,2330282815756293
1,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,3856287,3856287,524288000,1024,16384,0,24,0,32,64,0x7fbdffffe500,22839654,22839654,491520000,0,16384000,442368000,32768000,8192000,458752000,29596347,1651520,1648256,3295552,3288704,3282624,3276928,3273984,3270208,3264704,3258368,3257152,0,0,0,0,0,66842068,66792573,133667975,133634215,133668996,133652085,133573001,133629466,133737972,133821116,133661847,0,0,0,0,0,20261,20683,18157,23627,20057,22320,15102,17379,17812,19453,24771,20984,20600,24109,17458,27106,20885,18367,22006,19505,28197,23542,20023,21023,24253,15952,19061,18776,15584,16612,18074,21106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470932,593792,458614,548422,456186,580890,461011,528164,455672,577349,461416,534793,458206,593436,454828,549039,462368,590143,458220,552129,628056,576253,458513,532380,461464,569972,461373,533670,467091,590355,458803,549875,6144287,6144040,6144028,6144040,6144028,6144035,6144031,6144040,6144020,6144031,6144028,6144040,6144028,6144039,6144028,6144040,6144029,6144039,6144028,6144040,6144031,6144031,6144028,6144039,6144028,6144040,6144032,6144040,6144157,6144039,6144028,6144040,2382639,2479036,4922917,4926141,4966110,5024398,5038618,5067918,5156936,5199578,5261058,0,0,0,0,0,2330282586394386,2330282829642044,2330282844853727,2330282844873675
2,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdfffff400,22141598,22141598,319488000,0,16384000,270336000,8192000,8192000,458752000,162053517,411040,410976,820160,820576,819776,819504,819568,818464,817824,817152,816960,0,0,0,0,0,20638052,20722502,41420744,41489428,41535722,41615143,41589446,41650469,41692876,41752355,41784776,0,0,0,0,0,481203,497574,501338,427339,477840,627779,505140,490401,490523,516318,397955,521618,499658,564589,480283,444818,487838,546146,561825,488135,438875,456152,492391,513055,420377,411266,521643,486873,509127,584626,485137,475445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,188,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,188,0,83,0,0,0,6144000,6144002,6144000,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144002,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144004,6144000,6144001,6144000,6144000,6144000,3612507,3731511,7504987,7593073,7636769,7691559,7744915,7800289,7912804,8035370,8078436,0,0,0,0,0,2330282587753282,2330282858508129,2330282873254051,2330282873272765
3,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,35,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdfffff280,22143469,22143469,319488000,0,16384000,270336000,8192000,8192000,458752000,162245859,410720,411104,820896,820144,820112,820224,818576,818880,817936,816944,816464,0,0,0,0,0,20597186,20719627,41387551,41505707,41499101,41603821,41646618,41711008,41689856,41730607,41732801,0,0,0,0,0,530952,527490,438918,471889,469155,428405,427437,447703,414194,479046,492034,482683,409726,422395,518926,439609,503691,558644,452260,463191,510075,377240,455127,448850,420164,420161,409240,430460,410428,512318,527230,447177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,164,0,0,0,6144000,6144001,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144004,6144000,6144000,6144004,6144000,6144000,6144000,3567833,3663540,7387059,7596061,7590058,7700890,7844144,7842894,7871270,7963876,8027700,0,0,0,0,0,2330282589209008,2330283092962081,2330283107710882,2330283107738543
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,37,3856287,3856287,524288000,1024,16384,0,24,0,32,64,0x7fbdfffff180,22840116,22840116,491520000,0,16384000,442368000,32768000,8192000,458752000,29582875,1649856,1648128,3293056,3287616,3285632,3278400,3275200,3269888,3261888,3261632,3256704,0,0,0,0,0,66856650,66722086,133592753,133669447,133705937,133691034,133654229,133587405,133707326,133650997,133819365,0,0,0,0,0,19192,22140,16138,21817,24328,20105,18707,19644,18927,20877,17537,20785,18112,19207,18943,15157,20519,15022,22031,24388,22961,21978,22315,20414,16605,17837,17785,15788,19564,26857,18508,22656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473173,594298,461323,548765,458354,580554,463164,529011,457801,577864,463480,533366,460458,595389,456908,549959,464418,591114,460503,553172,630688,575849,460822,531235,464258,569556,463837,533366,468413,590282,460858,549998,6144285,6144029,6144028,6144040,6144029,6144027,6144028,6144040,6144020,6144032,6144028,6144040,6144028,6144028,6144028,6144040,6144026,6144028,6144028,6144040,6144028,6144032,6144028,6144038,6144030,6144028,6144032,6144040,6144158,6144028,6144028,6144040,2398821,2422403,4845477,4949054,4967128,5008789,5024090,5091141,5135834,5127083,5189224,0,0,0,0,0,2330282590443373,2330283121656643,2330283136868805,2330283136894376
5,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,39,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdfffff080,22145572,22145572,319488000,0,16384000,270336000,8192000,8192000,458752000,161149162,410768,411392,821808,820400,819760,819168,818992,818352,818224,816848,816288,0,0,0,0,0,20622790,20736393,41408579,41454749,41463092,41585788,41561459,41541594,41649892,41705918,41740473,0,0,0,0,0,494746,491868,477718,501798,447372,496858,518626,486581,518286,396937,468292,524777,450086,504413,515764,451166,496928,550592,447635,533122,518857,510720,486837,479482,469022,424783,516182,512180,521978,468567,443166,455725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,188,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,137,0,0,0,6144000,6144002,6144000,6144000,6144000,6144000,6144004,6144000,6144003,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144004,6144000,6144001,6144000,6144000,6144000,3591516,3718696,7406013,7528338,7551653,7649692,7695377,7706297,7833054,7959417,8046541,0,0,0,0,0,2330282591679529,2330283150521220,2330283165270016,2330283165291475
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,43,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdffffee80,22124679,22124679,319488000,0,16384000,270336000,8192000,8192000,458752000,166661363,411488,411136,821216,820112,819984,819552,818992,818464,817648,817072,816336,0,0,0,0,0,22472016,22604590,45092885,45233265,45124691,45269771,45223472,45193784,45357990,45253446,45324430,0,0,0,0,0,916564,742263,798915,828137,917301,743013,791873,772920,814330,814835,827314,812269,721415,865682,894968,755465,806405,870806,886728,834999,826114,872117,837524,773934,952687,821750,793052,810864,1583582,840270,736577,828171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,1718,2752,1940,3134,2459,2749,1867,3252,3994,2620,2004,2193,2009,3442,1645,3522,2028,3415,2254,3045,3348,3113,2058,3114,2374,2590,1799,49093,1998,2887,2070,6144023,6144024,6144033,6144024,6144033,6144028,6144029,6144023,6144035,6144032,6144032,6144023,6144025,6144021,6144034,6144023,6144036,6144024,6144035,6144022,6144033,6144029,6144034,6144024,6144034,6144026,6144033,6144023,6144382,6144021,6144033,6144024,5371299,5491055,10973806,11140623,11078825,11228948,11195443,11151435,11395674,11308861,11436955,0,0,0,0,0,2330283166233809,2330283385052361,2330283399788201,2330283399819653
7,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,45,3856287,3856287,524288000,1024,16384,0,24,0,32,64,0x7fbdffffed80,22846856,22846856,491520000,0,16384000,442368000,32768000,8192000,458752000,29595928,1651392,1647424,3294016,3287360,3282880,3280064,3273728,3270528,3265664,3261696,3253248,0,0,0,0,0,66944449,66675160,133509561,133531383,133590171,133760079,133676366,133793535,133650281,133739920,133730228,0,0,0,0,0,20164,21406,20806,21859,18744,26508,24830,20288,18330,11745,13938,20066,17935,18331,15712,16549,18237,15730,26234,20050,25843,14985,16907,17410,15594,15778,15329,16216,15926,15961,18360,19083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469163,593771,456658,548704,453606,581219,458340,528143,453253,576528,458931,534010,456077,593945,452479,547808,459875,589851,455873,551961,625636,575825,456280,531180,459375,570037,458727,533414,463956,590210,456261,549474,6144287,6144041,6144028,6144040,6144028,6144035,6144028,6144040,6144020,6144032,6144028,6144040,6144027,6144039,6144028,6144040,6144027,6144040,6144028,6144040,6144030,6144032,6144032,6144039,6144028,6144040,6144032,6144043,6144158,6144040,6144028,6144040,2360462,2484853,4993596,4995116,5039558,5027616,5058064,5061067,5156182,5158063,5176602,0,0,0,0,0,2330283167815846,2330283413716841,2330283428931561,2330283428949716
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,47,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdffffec80,22147336,22147336,319488000,0,16384000,270336000,8192000,8192000,458752000,161597918,410400,410704,821264,820752,820096,819920,818752,818016,817760,817488,816848,0,0,0,0,0,20588052,20719727,41465386,41462077,41553284,41620568,41587421,41633744,41714722,41735926,41727379,0,0,0,0,0,472778,467195,508343,501337,476852,515694,447097,410116,442175,456046,477393,413786,402688,492504,439129,429921,483676,483227,448071,479356,406405,496705,456130,459086,526718,454921,473593,468250,470472,466502,470837,509934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,94,0,0,188,0,88,0,0,0,6144000,6144002,6144000,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144001,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144000,6144002,6144000,6144000,6144004,6144000,6144001,6144000,6144000,6144000,3616218,3754194,7470853,7489307,7601186,7683828,7759031,7826122,7962640,7952152,8020085,0,0,0,0,0,2330283168988611,2330283442581972,2330283457331247,2330283457353236
9,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,51,3856287,3856287,524288000,1024,16384,0,12,0,32,64,0x7fbdffffea80,22128393,22128393,319488000,0,16384000,270336000,8192000,8192000,458752000,167484824,411232,411072,821488,821088,820832,818608,818496,818240,818272,816688,815984,0,0,0,0,0,22601465,22668092,45333241,45432061,45475361,45477914,45425513,45496091,45702412,45670476,45634835,0,0,0,0,0,932351,918183,945202,914583,884883,938199,913995,904119,876842,956150,908545,878849,905721,909161,942981,875488,743974,933269,914320,930403,853252,927860,907662,759022,941357,838541,877675,732222,1737766,933434,958525,862958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,2077,2984,2181,2980,2864,2820,2465,3181,3737,3151,2304,2521,2311,3105,2359,3367,2138,3223,2037,2850,4239,3096,2447,2584,1937,2985,2447,50037,2340,2983,1468,6144024,6144027,6144033,6144023,6144034,6144028,6144030,6144023,6144035,6144030,6144031,6144024,6144025,6144021,6144034,6144023,6144036,6144024,6144036,6144021,6144034,6144029,6144034,6144024,6144034,6144025,6144032,6144023,6144386,6144022,6144033,6144023,5473597,5554765,11168797,11274284,11379341,11373384,11378893,11511197,11703764,11751214,11760733,0,0,0,0,0,2330283458286840,2330283677108422,2330283691846980,2330283691864224
