"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1726549052","345309810","37.5130766946154"
"hiprtcCompileProgram","7","1596631427","228090203","34.6903304627827"
"hipFree","11","1132190370","102926397","24.5993266936241"
"hipMalloc","11","55304293","5027663","1.20160743909782"
"hipModuleGetFunction","10","47405142","4740514","1.0299810048867"
"hipModuleLaunchKernel","33","35208447","1066922","0.764980972350215"
"hipLaunchKernel","6","3645445","607574","0.0792053128827077"
"hiprtcCreateProgram","7","3416075","488010","0.0742217450011715"
"hipModuleLoadData","10","948502","94850","0.0206082927269165"
"hipModuleUnload","10","304081","30408","0.00660682872644811"
"hipStreamSynchronize","3","302701","100900","0.0065768451903426"
"hiprtcDestroyProgram","7","237991","33998","0.00517087807339529"
"hipStreamDestroy","1","127610","127610","0.00277260800175625"
"hipMemcpy","5","118762","23752","0.00258036573547979"
"hipEventRecord","10","56171","5617","0.00122043855549448"
"hipMemGetInfo","1","12640","12640","0.000274631808966374"
"hipGetDevice","64","12250","191","0.000266158200936557"
"hipSetDevice","61","11670","191","0.000253556424892214"
"hipGetDeviceProperties","9","9910","1101","0.000215316552757656"
"hipEventElapsedTime","5","8351","1670","0.000181443847838465"
"hiprtcGetCode","7","6020","860","0.000130797744460251"
"hipStreamCreate","1","3340","3340","7.25688482553553e-05"
"__hipPushCallConfiguration","6","3300","550","7.16997602522971e-05"
"__hipPopCallConfiguration","6","3190","531","6.93097682438872e-05"
"hipEventCreate","2","2740","1370","5.95325282094831e-05"
"hipEventDestroy","2","2360","1180","5.12761921804307e-05"
"hiprtcGetCodeSize","7","1910","272","4.14989521460265e-05"
"hipGetLastError","6","1280","213","2.78108160978607e-05"
"hipGetDeviceCount","1","820","820","1.7816304062692e-05"
"Total","314","4602525850","14657725","100.0"
