Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_RDREQ[0],TCC_EA_RDREQ[1],TCC_EA_RDREQ[2],TCC_EA_RDREQ[3],TCC_EA_RDREQ[4],TCC_EA_RDREQ[5],TCC_EA_RDREQ[6],TCC_EA_RDREQ[7],TCC_EA_RDREQ[8],TCC_EA_RDREQ[9],TCC_EA_RDREQ[10],TCC_EA_RDREQ[11],TCC_EA_RDREQ[12],TCC_EA_RDREQ[13],TCC_EA_RDREQ[14],TCC_EA_RDREQ[15],TCC_EA_RDREQ[16],TCC_EA_RDREQ[17],TCC_EA_RDREQ[18],TCC_EA_RDREQ[19],TCC_EA_RDREQ[20],TCC_EA_RDREQ[21],TCC_EA_RDREQ[22],TCC_EA_RDREQ[23],TCC_EA_RDREQ[24],TCC_EA_RDREQ[25],TCC_EA_RDREQ[26],TCC_EA_RDREQ[27],TCC_EA_RDREQ[28],TCC_EA_RDREQ[29],TCC_EA_RDREQ[30],TCC_EA_RDREQ[31],TCC_EA_RDREQ_32B[0],TCC_EA_RDREQ_32B[1],TCC_EA_RDREQ_32B[2],TCC_EA_RDREQ_32B[3],TCC_EA_RDREQ_32B[4],TCC_EA_RDREQ_32B[5],TCC_EA_RDREQ_32B[6],TCC_EA_RDREQ_32B[7],TCC_EA_RDREQ_32B[8],TCC_EA_RDREQ_32B[9],TCC_EA_RDREQ_32B[10],TCC_EA_RDREQ_32B[11],TCC_EA_RDREQ_32B[12],TCC_EA_RDREQ_32B[13],TCC_EA_RDREQ_32B[14],TCC_EA_RDREQ_32B[15],TCC_EA_RDREQ_32B[16],TCC_EA_RDREQ_32B[17],TCC_EA_RDREQ_32B[18],TCC_EA_RDREQ_32B[19],TCC_EA_RDREQ_32B[20],TCC_EA_RDREQ_32B[21],TCC_EA_RDREQ_32B[22],TCC_EA_RDREQ_32B[23],TCC_EA_RDREQ_32B[24],TCC_EA_RDREQ_32B[25],TCC_EA_RDREQ_32B[26],TCC_EA_RDREQ_32B[27],TCC_EA_RDREQ_32B[28],TCC_EA_RDREQ_32B[29],TCC_EA_RDREQ_32B[30],TCC_EA_RDREQ_32B[31],TCC_EA1_RDREQ[0],TCC_EA1_RDREQ[1],TCC_EA1_RDREQ[2],TCC_EA1_RDREQ[3],TCC_EA1_RDREQ[4],TCC_EA1_RDREQ[5],TCC_EA1_RDREQ[6],TCC_EA1_RDREQ[7],TCC_EA1_RDREQ[8],TCC_EA1_RDREQ[9],TCC_EA1_RDREQ[10],TCC_EA1_RDREQ[11],TCC_EA1_RDREQ[12],TCC_EA1_RDREQ[13],TCC_EA1_RDREQ[14],TCC_EA1_RDREQ[15],TCC_EA1_RDREQ[16],TCC_EA1_RDREQ[17],TCC_EA1_RDREQ[18],TCC_EA1_RDREQ[19],TCC_EA1_RDREQ[20],TCC_EA1_RDREQ[21],TCC_EA1_RDREQ[22],TCC_EA1_RDREQ[23],TCC_EA1_RDREQ[24],TCC_EA1_RDREQ[25],TCC_EA1_RDREQ[26],TCC_EA1_RDREQ[27],TCC_EA1_RDREQ[28],TCC_EA1_RDREQ[29],TCC_EA1_RDREQ[30],TCC_EA1_RDREQ[31],TCC_EA1_RDREQ_32B[0],TCC_EA1_RDREQ_32B[1],TCC_EA1_RDREQ_32B[2],TCC_EA1_RDREQ_32B[3],TCC_EA1_RDREQ_32B[4],TCC_EA1_RDREQ_32B[5],TCC_EA1_RDREQ_32B[6],TCC_EA1_RDREQ_32B[7],TCC_EA1_RDREQ_32B[8],TCC_EA1_RDREQ_32B[9],TCC_EA1_RDREQ_32B[10],TCC_EA1_RDREQ_32B[11],TCC_EA1_RDREQ_32B[12],TCC_EA1_RDREQ_32B[13],TCC_EA1_RDREQ_32B[14],TCC_EA1_RDREQ_32B[15],TCC_EA1_RDREQ_32B[16],TCC_EA1_RDREQ_32B[17],TCC_EA1_RDREQ_32B[18],TCC_EA1_RDREQ_32B[19],TCC_EA1_RDREQ_32B[20],TCC_EA1_RDREQ_32B[21],TCC_EA1_RDREQ_32B[22],TCC_EA1_RDREQ_32B[23],TCC_EA1_RDREQ_32B[24],TCC_EA1_RDREQ_32B[25],TCC_EA1_RDREQ_32B[26],TCC_EA1_RDREQ_32B[27],TCC_EA1_RDREQ_32B[28],TCC_EA1_RDREQ_32B[29],TCC_EA1_RDREQ_32B[30],TCC_EA1_RDREQ_32B[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,3855767,3855767,2048,1024,0,0,32,0,48,64,0x7f5f707fdf80,35856,35856,23744,0,0,23552,96,224,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5387,0,5470,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,4,0,0,0,3,0,4,4,5,0,0,3,0,1,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,1103,0,0,0,0,0,0,0,0,0,0,0,2330260513947589,2330260518247848,2330260518263048,2330260518274547
1,twiddle_gen_large_dp,0,1,2,3855767,3855767,8192,1024,0,0,32,0,32,64,0x7f5f707fde80,21678,21678,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0,1446,762,2297,0,0,788,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,4,0,0,0,4,0,1,0,5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,1300,689,2078,0,0,715,0,0,0,0,0,0,0,2330260640308861,2330260641695338,2330260641699978,2330260641710927
2,twiddle_gen_radices_dp,0,1,4,3855767,3855767,8192,1024,0,0,32,0,48,64,0x7f5f707fdd80,31748,31748,48352,0,0,47584,384,400,0,0,0,0,48,0,96,48,144,0,0,48,0,0,0,0,0,0,0,0,2839,0,6347,2880,8717,0,0,2744,0,0,0,0,0,0,4,1,0,1,1,0,0,0,4,0,0,0,3,0,4,4,5,0,0,3,0,1,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,1553,730,2257,0,0,661,0,0,0,0,0,0,2330260644837490,2330260645959495,2330260645969895,2330260645972405
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,3855767,3855767,524288000,8,0,0,16,0,32,64,0x7f5f707fe680,328217460,328217460,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227214244,227230323,454353781,454438521,454300444,454479363,454478125,454241065,454415669,454423609,454621479,0,0,0,0,0,28,9,8,57,13,9,8,12,16,8,110,16,20,8,53,103,65,11,8,12,8,8,8,12,12,9,8,12,22,9,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40654047,40687540,81304652,81387201,81229197,81404794,81400216,81132194,81344118,81371811,81602089,0,0,0,0,0,2330260692746242,2330260693881825,2330260912677399,2330260912720519
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,3855767,3855767,524288000,1024,16384,0,12,0,32,64,0x7f5f707fe600,22121626,22121626,319488000,0,16384000,270336000,8192000,8192000,458752000,167912052,410768,411104,822144,820912,820032,819904,818480,818464,817216,817264,815712,0,0,0,0,0,22934131,22877603,45696059,45879556,45825295,45742474,45964771,45863301,46011786,45910847,45938921,0,0,0,0,0,4096030,4096035,4096024,4096024,4096036,4096034,4096022,4096022,4096026,4096033,4096415,4096025,4096041,4096034,4096020,4096024,4096040,4096024,4096023,4096023,4096033,4096031,4096023,4096026,4096030,4096036,4096024,4096022,4096030,4096036,4096022,4096022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5664668,5587029,11148235,11416003,11400895,11313120,11539107,11533231,11670183,11551330,11629992,0,0,0,0,0,2330260693905947,2330260913576759,2330260928312602,2330260928330624
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,3855767,3855767,65536000,64,4096,0,64,0,32,64,0x7f5f707fe580,19570000,19570000,324608000,0,49152000,324608000,22528000,8192000,262144000,59767989,1127280,1127786,2253900,2255352,2253966,2253658,2252602,2251348,2251480,2250402,2250226,0,0,0,0,0,67784285,71073102,139361545,139682477,139898707,140091778,140394552,141285808,140543033,141334312,141273374,0,0,0,0,0,4096008,4096004,4096008,4096015,4096010,4096005,4096004,4096005,4096009,4096005,4096004,4096004,4096008,4096004,4096006,4096016,4096008,4096004,4096004,4096018,4096008,4096007,4096005,4096006,4096008,4096004,4096005,4096007,4096008,4096004,4096008,4096023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10706068,12523237,23590481,23869358,24015855,24027115,24163449,24771718,24322279,24816860,24851130,0,0,0,0,0,2330260695263813,2330260929208603,2330260942240606,2330260942263153
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,3855767,3855767,524288000,1024,16384,0,24,0,32,64,0x7f5f707fe500,22846388,22846388,491520000,0,16384000,442368000,32768000,8192000,458752000,29592199,1650048,1648320,3292800,3289088,3283520,3282240,3271936,3267648,3267264,3261312,3253824,0,0,0,0,0,66918409,66805702,133643032,133766773,133715372,133861586,133760374,133727602,133737547,133700773,133693169,0,0,0,0,0,4096028,4096028,4096040,4096027,4096036,4096032,4096040,4096031,4096040,4096028,4096432,4096028,4096028,4096029,4096040,4096040,4096029,4096028,4096040,4096032,4096042,4096028,4096044,4096028,4096040,4096028,4096040,4096028,4096028,4096028,4096040,4096028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2413773,2491839,4926515,4982211,4998253,5020306,5088240,5098551,5164472,5151369,5211607,0,0,0,0,0,2330260696607848,2330260943139006,2330260958358050,2330260958378621
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,3855767,3855767,65536000,128,8192,0,64,0,32,64,0x7f5f707ff480,19141860,19141860,397312000,0,73728000,397312000,24576000,8192000,262144000,196054319,1235424,1233312,2467872,2464656,2462448,2457552,2455440,2452944,2451504,2452080,2442768,0,0,0,0,0,66320807,66343901,132730350,132738668,132613095,132793578,132770580,132771213,132790692,132781046,132942620,0,0,0,0,0,4096008,4096012,4096008,4096012,4096011,4096008,4096008,4096013,4096006,4096013,4096010,4096014,4096012,4096012,4096008,4096013,4096013,4096013,4096008,4096012,4096008,4096013,4096008,4096012,4096008,4096009,4096008,4096015,4096009,4096012,4096008,4096012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15093155,15187360,30423939,30460150,30315532,30539012,30577196,30650992,30665467,30704929,30858470,0,0,0,0,0,2330260697804083,2330260959253570,2330260972001573,2330260972017948
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,3855767,3855767,524288000,1024,16384,0,12,0,32,64,0x7f5f707ff400,22142191,22142191,319488000,0,16384000,270336000,8192000,8192000,458752000,162117239,411104,410992,821664,820384,819568,819232,819072,818624,817360,817184,816816,0,0,0,0,0,20586295,20727655,41408842,41454518,41512376,41588234,41590335,41684360,41659735,41709569,41760862,0,0,0,0,0,4096000,4096004,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096002,4096002,4096000,4096000,4096000,4096000,4096001,4096000,4096000,4096000,4096000,4096000,4096000,4096001,4096000,4096000,4096000,4096000,4096000,4096005,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3543564,3717913,7403279,7513068,7638984,7726106,7702667,7840212,7908782,7969628,8091513,0,0,0,0,0,2330260698990838,2330260972896780,2330260987646215,2330260987670754
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,3855767,3855767,524288000,8,0,0,16,0,32,64,0x7f5f707ff380,328215187,328215187,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226921771,227246271,454407028,454229754,454290737,454341628,454642041,454026503,454770775,454154746,454598490,0,0,0,0,0,12,8,8,12,12,8,8,12,10,8,11,12,12,8,8,12,11,10,8,12,8,8,8,8,12,8,8,12,12,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40417903,40790662,81489186,81273079,81350142,81405527,81777194,81089205,81892435,81233757,81726658,0,0,0,0,0,2330260700203813,2330260988543508,2330261207339040,2330261207372170
