"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1731890708","346378141","41.6794347290711"
"hipFree","11","1132170480","102924589","27.2466532705371"
"hiprtcCompileProgram","7","1120890493","160127213","26.9751907124556"
"hipMalloc","11","55146370","5013306","1.32714467393528"
"hipModuleLaunchKernel","33","51412627","1557958","1.23728894750591"
"hipModuleGetFunction","10","31334492","3133449","0.754091414689084"
"hipLaunchKernel","6","12525202","2087533","0.301429724644859"
"hipModuleLoadData","10","12304521","1230452","0.296118847178424"
"hiprtcCreateProgram","7","3463596","494799","0.0833544072631352"
"hipStreamSynchronize","3","3144904","1048301","0.0756848110517113"
"hipModuleUnload","10","306751","30675","0.0073822258087762"
"hiprtcDestroyProgram","7","259260","37037","0.00623931417724251"
"hipStreamDestroy","1","140671","140671","0.00338536821965163"
"hipMemcpy","5","118411","23682","0.00284966223498211"
"hipEventRecord","10","75800","7580","0.00182419198732925"
"hipGetDevice","64","12360","193","0.00029745399687849"
"hipSetDevice","61","12050","197","0.000289993581099175"
"hipGetDeviceProperties","9","10561","1173","0.000254159519501111"
"hipEventElapsedTime","5","8680","1736","0.000208891641820817"
"hipMemGetInfo","1","8310","8310","0.000199987274600344"
"hiprtcGetCode","7","5900","842","0.000141988558380509"
"__hipPopCallConfiguration","6","4200","700","0.00010107660088104"
"__hipPushCallConfiguration","6","3930","655","9.45788193958307e-05"
"hipStreamCreate","1","3510","3510","8.44711593077266e-05"
"hipEventCreate","2","2970","1485","7.14755963373071e-05"
"hipEventDestroy","2","2500","1250","6.01646433815717e-05"
"hipGetLastError","6","2010","335","4.83723732787836e-05"
"hiprtcGetCodeSize","7","1780","254","4.2837226087679e-05"
"hipGetDeviceCount","1","1340","1340","3.22482488525224e-05"
"Total","314","4155264387","13233326","100.0"
