Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_WRITE_WAVEFRONTS[0],TA_FLAT_WRITE_WAVEFRONTS[1],TA_FLAT_WRITE_WAVEFRONTS[2],TA_FLAT_WRITE_WAVEFRONTS[3],TA_FLAT_WRITE_WAVEFRONTS[4],TA_FLAT_WRITE_WAVEFRONTS[5],TA_FLAT_WRITE_WAVEFRONTS[6],TA_FLAT_WRITE_WAVEFRONTS[7],TA_FLAT_WRITE_WAVEFRONTS[8],TA_FLAT_WRITE_WAVEFRONTS[9],TA_FLAT_WRITE_WAVEFRONTS[10],TA_FLAT_WRITE_WAVEFRONTS[11],TA_FLAT_WRITE_WAVEFRONTS[12],TA_FLAT_WRITE_WAVEFRONTS[13],TA_FLAT_WRITE_WAVEFRONTS[14],TA_FLAT_WRITE_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ[0],TCC_EA_WRREQ[1],TCC_EA_WRREQ[2],TCC_EA_WRREQ[3],TCC_EA_WRREQ[4],TCC_EA_WRREQ[5],TCC_EA_WRREQ[6],TCC_EA_WRREQ[7],TCC_EA_WRREQ[8],TCC_EA_WRREQ[9],TCC_EA_WRREQ[10],TCC_EA_WRREQ[11],TCC_EA_WRREQ[12],TCC_EA_WRREQ[13],TCC_EA_WRREQ[14],TCC_EA_WRREQ[15],TCC_EA_WRREQ[16],TCC_EA_WRREQ[17],TCC_EA_WRREQ[18],TCC_EA_WRREQ[19],TCC_EA_WRREQ[20],TCC_EA_WRREQ[21],TCC_EA_WRREQ[22],TCC_EA_WRREQ[23],TCC_EA_WRREQ[24],TCC_EA_WRREQ[25],TCC_EA_WRREQ[26],TCC_EA_WRREQ[27],TCC_EA_WRREQ[28],TCC_EA_WRREQ[29],TCC_EA_WRREQ[30],TCC_EA_WRREQ[31],TCC_EA_WRREQ_64B[0],TCC_EA_WRREQ_64B[1],TCC_EA_WRREQ_64B[2],TCC_EA_WRREQ_64B[3],TCC_EA_WRREQ_64B[4],TCC_EA_WRREQ_64B[5],TCC_EA_WRREQ_64B[6],TCC_EA_WRREQ_64B[7],TCC_EA_WRREQ_64B[8],TCC_EA_WRREQ_64B[9],TCC_EA_WRREQ_64B[10],TCC_EA_WRREQ_64B[11],TCC_EA_WRREQ_64B[12],TCC_EA_WRREQ_64B[13],TCC_EA_WRREQ_64B[14],TCC_EA_WRREQ_64B[15],TCC_EA_WRREQ_64B[16],TCC_EA_WRREQ_64B[17],TCC_EA_WRREQ_64B[18],TCC_EA_WRREQ_64B[19],TCC_EA_WRREQ_64B[20],TCC_EA_WRREQ_64B[21],TCC_EA_WRREQ_64B[22],TCC_EA_WRREQ_64B[23],TCC_EA_WRREQ_64B[24],TCC_EA_WRREQ_64B[25],TCC_EA_WRREQ_64B[26],TCC_EA_WRREQ_64B[27],TCC_EA_WRREQ_64B[28],TCC_EA_WRREQ_64B[29],TCC_EA_WRREQ_64B[30],TCC_EA_WRREQ_64B[31],TCC_EA1_WRREQ[0],TCC_EA1_WRREQ[1],TCC_EA1_WRREQ[2],TCC_EA1_WRREQ[3],TCC_EA1_WRREQ[4],TCC_EA1_WRREQ[5],TCC_EA1_WRREQ[6],TCC_EA1_WRREQ[7],TCC_EA1_WRREQ[8],TCC_EA1_WRREQ[9],TCC_EA1_WRREQ[10],TCC_EA1_WRREQ[11],TCC_EA1_WRREQ[12],TCC_EA1_WRREQ[13],TCC_EA1_WRREQ[14],TCC_EA1_WRREQ[15],TCC_EA1_WRREQ[16],TCC_EA1_WRREQ[17],TCC_EA1_WRREQ[18],TCC_EA1_WRREQ[19],TCC_EA1_WRREQ[20],TCC_EA1_WRREQ[21],TCC_EA1_WRREQ[22],TCC_EA1_WRREQ[23],TCC_EA1_WRREQ[24],TCC_EA1_WRREQ[25],TCC_EA1_WRREQ[26],TCC_EA1_WRREQ[27],TCC_EA1_WRREQ[28],TCC_EA1_WRREQ[29],TCC_EA1_WRREQ[30],TCC_EA1_WRREQ[31],TCC_EA1_WRREQ_64B[0],TCC_EA1_WRREQ_64B[1],TCC_EA1_WRREQ_64B[2],TCC_EA1_WRREQ_64B[3],TCC_EA1_WRREQ_64B[4],TCC_EA1_WRREQ_64B[5],TCC_EA1_WRREQ_64B[6],TCC_EA1_WRREQ_64B[7],TCC_EA1_WRREQ_64B[8],TCC_EA1_WRREQ_64B[9],TCC_EA1_WRREQ_64B[10],TCC_EA1_WRREQ_64B[11],TCC_EA1_WRREQ_64B[12],TCC_EA1_WRREQ_64B[13],TCC_EA1_WRREQ_64B[14],TCC_EA1_WRREQ_64B[15],TCC_EA1_WRREQ_64B[16],TCC_EA1_WRREQ_64B[17],TCC_EA1_WRREQ_64B[18],TCC_EA1_WRREQ_64B[19],TCC_EA1_WRREQ_64B[20],TCC_EA1_WRREQ_64B[21],TCC_EA1_WRREQ_64B[22],TCC_EA1_WRREQ_64B[23],TCC_EA1_WRREQ_64B[24],TCC_EA1_WRREQ_64B[25],TCC_EA1_WRREQ_64B[26],TCC_EA1_WRREQ_64B[27],TCC_EA1_WRREQ_64B[28],TCC_EA1_WRREQ_64B[29],TCC_EA1_WRREQ_64B[30],TCC_EA1_WRREQ_64B[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,3855943,3855943,2048,1024,0,0,32,0,48,64,0x7f32afdfdf80,35540,35540,23744,0,0,23552,96,224,0,0,0,0,0,0,0,0,112,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,5496,0,5441,0,0,0,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102,0,1192,0,0,0,0,0,0,0,2330267865882641,2330267870189061,2330267870204101,2330267870214530
1,twiddle_gen_large_dp,0,1,2,3855943,3855943,8192,1024,0,0,32,0,32,64,0x7f32afdfde80,21640,21640,2096,0,0,2096,0,16,0,0,0,0,0,2,0,0,2,6,2,2,2,0,0,0,0,0,0,0,0,648,0,0,712,2109,683,751,742,0,0,0,0,0,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,639,1890,610,678,669,0,0,0,0,0,2330267989168771,2330267990550008,2330267990554648,2330267990569727
2,twiddle_gen_radices_dp,0,1,4,3855943,3855943,8192,1024,0,0,32,0,48,64,0x7f32afdfdd80,30263,30263,48352,0,0,47584,384,400,0,0,0,48,0,0,48,0,0,64,144,48,48,0,0,0,0,0,0,2835,0,0,2754,0,0,3472,8695,3080,2970,0,0,0,0,0,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,663,0,0,867,2099,862,735,0,0,0,0,0,2330267993652729,2330267994753365,2330267994764405,2330267994766794
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,3855943,3855943,524288000,8,0,0,16,0,32,64,0x7f32afdfe680,328217756,328217756,10420224000,0,0,10223616000,0,65536000,0,0,3276800,3276800,6553600,6553600,6553600,6553600,6553600,6553600,6553600,6553600,6553600,0,0,0,0,0,227300135,227857742,454987172,455167801,455045782,455269565,454965456,455158821,454792463,455014563,454847372,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40809007,41403917,82074132,82236843,82107787,82333855,82004980,82190238,81812056,82047918,81910236,0,0,0,0,0,2330268041182090,2330268042331170,2330268261126696,2330268261166697
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,3855943,3855943,524288000,1024,16384,0,12,0,32,64,0x7f32afdfe600,22130231,22130231,319488000,0,16384000,270336000,8192000,8192000,458752000,167103909,411376,411584,821344,820672,819776,819104,818800,818352,817760,816976,816256,0,0,0,0,0,22785108,22794496,45617149,45530570,45687266,45771889,45774308,45710245,45748308,45871896,45875635,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469622,5479452,11116457,11017119,11187110,11296227,11359211,11318415,11395656,11604130,11586697,0,0,0,0,0,2330268042354205,2330268262031816,2330268276773576,2330268276799653
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,3855943,3855943,65536000,64,4096,0,64,0,32,64,0x7f32afdfe580,19576161,19576161,324608000,0,49152000,324608000,22528000,8192000,262144000,60225029,409888,410352,819896,820040,819832,819392,818560,818808,818512,818440,818280,0,0,0,0,0,68328710,71530956,140194116,140386467,140421971,141085105,141469127,141566784,141589297,142302182,142216828,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11050908,12811157,24058514,24058437,24184955,24486364,24877775,25065539,24996734,25492586,25362072,0,0,0,0,0,2330268043718350,2330268277669576,2330268290707656,2330268290725591
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,3855943,3855943,524288000,1024,16384,0,24,0,32,64,0x7f32afdfe500,22846281,22846281,491520000,0,16384000,442368000,32768000,8192000,458752000,29595479,412704,412128,823104,822032,820816,819728,818736,817472,815856,815392,814032,0,0,0,0,0,66864695,66779012,133643841,133708573,133860147,133652525,133851032,133712053,133658407,133836425,133882790,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2346351,2501825,4895796,4991745,5005779,5028396,5059891,5060635,5137530,5199596,5254184,0,0,0,0,0,2330268045010026,2330268291603656,2330268306820617,2330268306842489
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,3855943,3855943,65536000,128,8192,0,64,0,32,64,0x7f32afdff480,19135486,19135486,397312000,0,73728000,397312000,24576000,8192000,262144000,195792130,412608,411104,821424,821712,820016,818960,819584,817296,817632,815984,815680,0,0,0,0,0,66329376,66317854,132671329,132669552,132723205,132730500,132811779,132954239,132833715,132826770,133002984,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14990534,15248565,30457977,30245488,30221624,30448145,30403317,30643982,30514996,30507439,30681840,0,0,0,0,0,2330268046237241,2330268307719017,2330268320462537,2330268320480106
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,3855943,3855943,524288000,1024,16384,0,12,0,32,64,0x7f32afdff400,22139178,22139178,319488000,0,16384000,270336000,8192000,8192000,458752000,162203269,411216,410976,821056,820336,819968,819568,818848,818176,817632,817408,816816,0,0,0,0,0,20589069,20725442,41447997,41434371,41525240,41568259,41631393,41605704,41693638,41726950,41752818,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3565037,3710834,7492628,7511396,7594001,7678644,7770412,7790181,7905987,7972412,8055326,0,0,0,0,0,2330268047397886,2330268321357190,2330268336104383,2330268336134052
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,3855943,3855943,524288000,8,0,0,16,0,32,64,0x7f32afdff380,328215173,328215173,10420224000,0,0,10223616000,0,65536000,0,0,3276800,3276800,6553600,6553600,6553600,6553600,6553600,6553600,6553600,6553600,6553600,0,0,0,0,0,226215917,226667287,452797153,453066712,452841344,453053756,452766320,453168875,452880656,453036860,452835837,0,0,0,0,0,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,4096000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39556991,40042319,79541568,79804861,79600381,79794325,79513060,79917984,79638645,79807343,79618003,0,0,0,0,0,2330268048595421,2330268337002522,2330268555798058,2330268555835118
