"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1732227069","346445413","37.6748025040428"
"hiprtcCompileProgram","7","1561202737","223028962","33.9551354656992"
"hipFree","11","1132216471","102928770","24.6249655718486"
"hipMalloc","11","56113967","5101269","1.2204419745408"
"hipModuleLaunchKernel","33","51012862","1545844","1.10949628683813"
"hipModuleGetFunction","10","31418833","3141883","0.683339008705043"
"hipModuleLoadData","10","14152680","1415268","0.307811506611964"
"hipLaunchKernel","6","11932281","1988713","0.259519284822896"
"hiprtcCreateProgram","7","3327715","475387","0.0723756184500201"
"hipStreamSynchronize","3","3256895","1085631","0.0708353299040868"
"hipModuleUnload","10","307271","30727","0.00668294269694254"
"hiprtcDestroyProgram","7","242092","34584","0.00526534220082017"
"hipStreamDestroy","1","135780","135780","0.00295312593570776"
"hipMemcpy","5","131840","26368","0.00286743352013338"
"hipEventRecord","10","75180","7518","0.00163511568601053"
"hipGetDevice","64","12450","194","0.000270779333477401"
"hipEventElapsedTime","5","11500","2300","0.000250117456625712"
"hipSetDevice","61","11310","185","0.000245985081255374"
"hipGetDeviceProperties","9","11070","1230","0.000240765238682316"
"hipMemGetInfo","1","9630","9630","0.000209446183243966"
"hiprtcGetCode","7","6000","857","0.000130496064326459"
"__hipPopCallConfiguration","6","4650","775","0.000101134449853005"
"__hipPushCallConfiguration","6","4480","746","9.74370613637557e-05"
"hipStreamCreate","1","3960","3960","8.61274024554626e-05"
"hipEventCreate","2","3670","1835","7.98200926796838e-05"
"hipEventDestroy","2","2700","1350","5.87232289469063e-05"
"hipGetLastError","6","1940","323","4.21937274655549e-05"
"hiprtcGetCodeSize","7","1590","227","3.45814570465115e-05"
"hipGetDeviceCount","1","1190","1190","2.58817194247476e-05"
"Total","314","4597839813","14642801","100.0"
