"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","7","1195186459","170740922","33.1400380634674"
"hipEventSynchronize","3","1157083029","385694343","32.083509091741"
"hipFree","11","1132018248","102910749","31.3885147750488"
"hipMalloc","11","55707062","5064278","1.54464112371937"
"hipModuleGetFunction","10","47350390","4735039","1.31292796626307"
"hipModuleLaunchKernel","23","9392114","408352","0.260423813466603"
"hipLaunchKernel","4","3919828","979957","0.108688688818424"
"hiprtcCreateProgram","7","3442535","491790","0.0954543452828885"
"hipModuleLoadData","10","986602","98660","0.0273564242527057"
"hipStreamSynchronize","3","320854","106951","0.00889661499487904"
"hipModuleUnload","10","301863","30186","0.0083700340098586"
"hiprtcDestroyProgram","7","286143","40877","0.00793415106085532"
"hipMemcpy","5","146221","29244","0.00405440462380462"
"hipStreamDestroy","1","120491","120491","0.00334096516592584"
"hipEventRecord","6","119402","19900","0.00331076945781741"
"hipEventElapsedTime","3","26170","8723","0.000725639743983196"
"hipGetDevice","56","11690","208","0.000324139419456002"
"hipSetDevice","53","11350","214","0.000314711925648043"
"hiprtcGetCode","7","8310","1187","0.000230419039835703"
"hipMemGetInfo","1","8230","8230","0.000228200805998537"
"hipGetDeviceProperties","7","7230","1032","0.000200472883033951"
"hipStreamCreate","1","4810","4810","0.000133371309459655"
"hipEventCreate","2","2910","1455","8.06882558269431e-05"
"hiprtcGetCodeSize","7","2910","415","8.06882558269431e-05"
"hipEventDestroy","2","2540","1270","7.04289243300465e-05"
"__hipPushCallConfiguration","4","2110","527","5.85059174552749e-05"
"__hipPopCallConfiguration","4","1820","455","5.04648197955452e-05"
"hipGetDeviceCount","1","810","810","2.24596176013141e-05"
"hipGetLastError","4","670","167","1.85777083862721e-05"
"Total","270","3606472801","13357306","100.0"
