"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipEventSynchronize","5","1735785537","347157107","41.5439569862721"
"hiprtcCompileProgram","7","1186208068","169458295","28.3904756107903"
"hipFree","11","1132026140","102911467","27.0936957734864"
"hipMalloc","11","55219252","5019932","1.32160695028427"
"hipModuleGetFunction","10","36955929","3695592","0.884496092424652"
"hipModuleLoadData","10","12849538","1284953","0.307538369566141"
"hipModuleLaunchKernel","33","9493153","287671","0.227207296920864"
"hipLaunchKernel","6","4886570","814428","0.116954225947331"
"hiprtcCreateProgram","7","3292855","470407","0.0788105578517855"
"hipStreamSynchronize","3","344002","114667","0.00823327766395117"
"hipModuleUnload","10","307623","30762","0.00736258967918108"
"hiprtcDestroyProgram","7","249593","35656","0.00597371082720032"
"hipEventElapsedTime","5","176161","35232","0.00421620347137314"
"hipMemcpy","5","146051","29210","0.00349555652611826"
"hipStreamDestroy","1","135631","135631","0.00324616625147342"
"hipEventRecord","10","43420","4342","0.00103920592371195"
"hipGetDevice","64","14230","222","0.000340578081400763"
"hipSetDevice","61","9660","158","0.00023120058090874"
"hiprtcGetCode","7","9280","1325","0.000222105734040694"
"hipMemGetInfo","1","9170","9170","0.00021947301521047"
"hipGetDeviceProperties","9","8140","904","0.000194821193436557"
"hipStreamCreate","1","4801","4801","0.000114906210035493"
"hiprtcGetCodeSize","7","3020","431","7.22800987934155e-05"
"__hipPushCallConfiguration","6","2830","471","6.77326753593927e-05"
"hipEventDestroy","2","2670","1335","6.39032661517945e-05"
"hipEventCreate","2","2540","1270","6.0791871170621e-05"
"__hipPopCallConfiguration","6","2050","341","4.90643054723516e-05"
"hipGetDeviceCount","1","1410","1410","3.37466686419589e-05"
"hipGetLastError","6","870","145","2.08224125663151e-05"
"Total","314","4178190194","13306338","100.0"
