"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","13","12522640","963280","31.3520416491663"
"hipModuleGetFunction","14","10041500","717250","25.1401881887608"
"hipModuleLaunchKernel","307","7456737","24289","18.6689012054071"
"hipModuleLoadData","14","6203234","443088","15.5305950444574"
"hipDeviceSynchronize","2","1409262","704631","3.52826887290439"
"hipMemcpy","7","1007111","143873","2.52143206363303"
"hipModuleUnload","14","571270","40805","1.43024800145331"
"hipStreamSynchronize","4","352150","88037","0.881652867666396"
"hipGetDevice","449","150220","334","0.376095112255703"
"hipSetDevice","234","83530","356","0.209128110283044"
"hipStreamDestroy","1","81710","81710","0.20457150594071"
"hipFree","13","47640","3664","0.119272874103726"
"hipGetDeviceProperties","3","8670","2890","0.0217064613450735"
"hipStreamCreate","1","6350","6350","0.0158980426229777"
"Total","1076","39942024","37120","100.0"
