"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1583741743","143976522","70.53"
"fft_rtc_back_len_64_factors_4_4_2_2_wgs_256_tpt_16_dim_2_dp_ip_CI_sbcc_twdbase6_3step_dirReg_intrinsicRead","11","202706651","18427877","9.027"
"fft_rtc_back_len_4096_factors_8_8_8_4_2_wgs_512_tpt_512_halfLds_dim_1_dp_op_CI_CI_unitstride_sbrr_dirReg","11","178615832","16237802","7.954"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","153024076","13911279","6.815"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","11","127254268","11568569","5.667"
"twiddle_gen_radices_dp","2","61919","30959","0.003"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","55040","5003","0.002"
"twiddle_gen_N_dp","1","33119","33119","0.001"
"twiddle_gen_large_dp","1","6560","6560","0.0"
"Total","70","2245499208","32078560","100.0"
