"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","1583699569","143972688","67.945"
"fft_rtc_back_len_4096_factors_16_16_16_wgs_256_tpt_256_halfLds_dim_1_dp_op_CI_CI_unitstride_sbrr_dirReg","11","240971978","21906543","10.338"
"fft_rtc_back_len_64_factors_8_8_wgs_256_tpt_8_dp_ip_CI_sbcc_twdbase8_3step_dirReg_intrinsicRead","11","225504335","20500394","9.675"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","153132849","13921168","6.57"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_aligned","11","127354551","11577686","5.464"
"twiddle_gen_radices_dp","2","96318","48159","0.004"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","67516","6137","0.003"
"twiddle_gen_N_dp","1","34559","34559","0.001"
"twiddle_gen_large_dp","1","6880","6880","0.0"
"Total","70","2330868555","33298122","100.0"
