"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_real_data_kernel<input_val_1D<unsigned long> const, double>(input_val_1D<unsigned long> const, input_val_1D<unsigned long> const, unsigned long, unsigned long, input_val_1D<unsigned long> const, double*, input_val_1D<unsigned long> const, unsigned long, input_val_1D<unsigned long> const, unsigned long)","11","1160774497","105524954","75.024"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","121678527","5530842","7.864"
"r2c_even_post_Ndiv4_dim1_dp_CI_CI","11","74018652","6728968","4.784"
"fft_rtc_fwd_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","64968139","5906194","4.199"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned","11","64005118","5818647","4.137"
"fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","61669332","5606302","3.986"
"twiddle_gen_radices_dp","2","69758","34879","0.005"
"twiddle_gen_N_dp","1","20960","20960","0.001"
"twiddle_gen_large_dp","1","8160","8160","0.001"
"Total","81","1547213143","19101396","100.0"
