length 128," batch 2097152"
128," fft_test_len_128_factors_8_2_2_2_2_wgs_64_tpt_64"," 6.12ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_64_tpt_64"," 6.12ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_64_tpt_64"," 6.12ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_64_tpt_64"," 6.12ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_64_tpt_64_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_64_tpt_64"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_64_tpt_64_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_64_tpt_64_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_64_tpt_64"," 6.13ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_64_tpt_64_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.13ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_64_tpt_64"," 6.13ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_64_tpt_64_dirReg"," 6.13ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_64_tpt_64"," 6.14ms "
128," fft_test_len_128_factors_2_2_2_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.14ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.14ms "
128," fft_test_len_128_factors_2_2_4_2_2_2_wgs_64_tpt_64"," 6.14ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_64_tpt_64"," 6.14ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_64_tpt_64"," 6.14ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_64_tpt_64"," 6.14ms "
128," fft_test_len_128_factors_2_4_2_2_2_2_wgs_64_tpt_64_dirReg"," 6.15ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_64_tpt_64"," 6.15ms "
128," fft_test_len_128_factors_2_2_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.16ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_64_tpt_64"," 6.16ms "
128," fft_test_len_128_factors_2_2_2_2_4_2_wgs_64_tpt_64"," 6.2ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 6.22ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_64_tpt_64_dirReg"," 6.23ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_64_tpt_64_dirReg"," 6.24ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 6.25ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_64_tpt_64_dirReg"," 6.25ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_64_tpt_64_dirReg"," 6.26ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_64_tpt_64_dirReg"," 6.26ms "
128," fft_test_len_128_factors_2_2_2_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 6.28ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_64_tpt_64"," 6.29ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_64_tpt_64_halfLds_dirReg"," 6.31ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_64_tpt_64_dirReg"," 6.38ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_64_tpt_64_dirReg"," 6.38ms "
128," fft_test_len_128_factors_2_2_4_2_4_wgs_64_tpt_64_halfLds_dirReg"," 6.39ms "
128," fft_test_len_128_factors_4_2_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.4ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_64_tpt_64_dirReg"," 6.4ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_64_tpt_64_dirReg"," 6.41ms "
128," fft_test_len_128_factors_4_2_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.42ms "
128," fft_test_len_128_factors_4_4_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.43ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.43ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_64_tpt_64_dirReg"," 6.5ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_64_tpt_64"," 6.51ms "
128," fft_test_len_128_factors_4_4_4_2_wgs_64_tpt_64"," 6.53ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_64_tpt_64"," 6.54ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.57ms "
128," fft_test_len_128_factors_2_2_2_4_4_wgs_64_tpt_64"," 6.58ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.59ms "
128," fft_test_len_128_factors_2_4_2_2_4_wgs_64_tpt_64"," 6.61ms "
128," fft_test_len_128_factors_4_2_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 6.61ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_64_tpt_64"," 6.64ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 6.64ms "
128," fft_test_len_128_factors_4_2_2_2_4_wgs_64_tpt_64_dirReg"," 6.64ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_64_tpt_64_halfLds_dirReg"," 6.65ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_64_tpt_64_dirReg"," 6.66ms "
128," fft_test_len_128_factors_2_4_4_2_2_wgs_64_tpt_64_dirReg"," 6.67ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_64_tpt_64_halfLds_dirReg"," 6.67ms "
128," fft_test_len_128_factors_4_4_2_4_wgs_64_tpt_64_dirReg"," 6.67ms "
128," fft_test_len_128_factors_4_2_4_4_wgs_64_tpt_64_dirReg"," 6.71ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 6.85ms "
128," fft_test_len_128_factors_2_4_2_4_2_wgs_64_tpt_64"," 6.85ms "
128," fft_test_len_128_factors_2_2_4_4_2_wgs_64_tpt_64"," 6.86ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64"," 6.94ms "
128," fft_test_len_128_factors_4_2_2_8_wgs_64_tpt_64"," 6.94ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_64_tpt_64_dirReg"," 6.97ms "
128," fft_test_len_128_factors_2_4_4_4_wgs_64_tpt_64"," 7.04ms "
128," fft_test_len_128_factors_8_8_2_wgs_64_tpt_64"," 7.08ms "
128," fft_test_len_128_factors_8_2_8_wgs_64_tpt_64"," 7.1ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64_dirReg"," 7.12ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64_dirReg"," 7.2ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64_dirReg"," 7.21ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_64_tpt_64_dirReg"," 7.21ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64_dirReg"," 7.23ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64_dirReg"," 7.27ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64"," 7.31ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.34ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.36ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.36ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64_halfLds_dirReg"," 7.37ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64_halfLds_dirReg"," 7.38ms "
128," fft_test_len_128_factors_8_2_2_2_2_wgs_64_tpt_64_dirReg"," 7.4ms "
128," fft_test_len_128_factors_2_8_2_4_wgs_64_tpt_64_halfLds_dirReg"," 7.4ms "
128," fft_test_len_128_factors_2_4_8_2_wgs_64_tpt_64"," 7.42ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64_dirReg"," 7.45ms "
128," fft_test_len_128_factors_4_8_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.45ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_64_tpt_64_dirReg"," 7.46ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_64_tpt_64"," 7.46ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_64_tpt_64_dirReg"," 7.46ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_64_tpt_64_halfLds_dirReg"," 7.46ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64_dirReg"," 7.47ms "
128," fft_test_len_128_factors_2_2_2_2_8_wgs_64_tpt_64_halfLds_dirReg"," 7.48ms "
128," fft_test_len_128_factors_8_2_4_2_wgs_64_tpt_64_halfLds_dirReg"," 7.49ms "
128," fft_test_len_128_factors_2_4_2_8_wgs_64_tpt_64_dirReg"," 7.51ms "
128," fft_test_len_128_factors_8_4_2_2_wgs_64_tpt_64_dirReg"," 7.51ms "
128," fft_test_len_128_factors_2_8_2_2_2_wgs_64_tpt_64"," 7.53ms "
128," fft_test_len_128_factors_2_8_4_2_wgs_64_tpt_64"," 7.56ms "
128," fft_test_len_128_factors_2_2_8_4_wgs_64_tpt_64_halfLds_dirReg"," 7.57ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64_dirReg"," 7.59ms "
128," fft_test_len_128_factors_2_2_4_8_wgs_64_tpt_64_halfLds_dirReg"," 7.64ms "
128," fft_test_len_128_factors_2_2_2_8_2_wgs_64_tpt_64"," 7.68ms "
128," fft_test_len_128_factors_4_2_8_2_wgs_64_tpt_64"," 7.69ms "
128," fft_test_len_128_factors_2_2_8_2_2_wgs_64_tpt_64"," 7.72ms "
128," fft_test_len_128_factors_8_2_2_4_wgs_64_tpt_64_halfLds_dirReg"," 7.74ms "
