"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","2012422399","251552799","40.5578243539104"
"hipEventSynchronize","5","1714039365","342807873","34.5442922598668"
"hipFree","10","1132136969","113213696","22.8167865534032"
"hipMalloc","10","55496844","5549684","1.11846859400235"
"hipModuleGetFunction","9","28747602","3194178","0.579371504258498"
"hipModuleLaunchKernel","27","9305138","344634","0.187533269745174"
"hiprtcCreateProgram","8","3829197","478649","0.0771726151625491"
"hipLaunchKernel","6","3637146","606191","0.0733020705249703"
"hipModuleLoadData","9","928795","103199","0.0187186867376893"
"hiprtcDestroyProgram","8","334432","41804","0.00674005334122053"
"hipStreamSynchronize","3","297010","99003","0.00598586033297026"
"hipModuleUnload","9","282852","31428","0.0057005237766449"
"hipStreamDestroy","1","127570","127570","0.00257101175945933"
"hipMemcpy","4","110071","27517","0.00221834158011639"
"hipEventRecord","10","51491","5149","0.00103773588231026"
"hipEventElapsedTime","5","39530","7906","0.000796677078085971"
"hipGetDevice","61","12700","208","0.00025595241314677"
"hipSetDevice","58","11240","193","0.000226527962501551"
"hipMemGetInfo","1","9080","9080","0.000182995898533281"
"hipGetDeviceProperties","9","8880","986","0.000178965151869553"
"hiprtcGetCode","8","8810","1101","0.000177554390537248"
"hipStreamCreate","1","6950","6950","0.000140068446564571"
"hipEventDestroy","2","3360","1680","6.77165439506416e-05"
"hipEventCreate","2","2740","1370","5.52212292930827e-05"
"__hipPopCallConfiguration","6","2560","426","5.15935572957269e-05"
"__hipPushCallConfiguration","6","2270","378","4.57489746333204e-05"
"hipGetDeviceCount","1","1800","1800","3.6276719973558e-05"
"hiprtcGetCodeSize","8","1730","216","3.4865958641253e-05"
"hipGetLastError","6","1310","218","2.64013906474228e-05"
"Total","301","4961859841","16484584","100.0"
