"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","7","2686752156","383821736","47.7935496886987"
"hipEventSynchronize","5","1700617340","340123468","30.2515954660139"
"hipFree","9","1132004642","125778293","20.1367736820994"
"hipMalloc","9","54785050","6087227","0.97454914236341"
"hipModuleGetFunction","8","29013773","3626721","0.516114297493142"
"hipModuleLaunchKernel","21","9231500","439595","0.164215427524988"
"hipLaunchKernel","6","3709875","618312","0.06599346901254"
"hiprtcCreateProgram","7","3374545","482077","0.060028418986872"
"hipModuleLoadData","8","825244","103155","0.0146799324348622"
"hipStreamSynchronize","3","318352","106117","0.00566303523624924"
"hiprtcDestroyProgram","7","305150","43592","0.00542819018677896"
"hipModuleUnload","8","244540","30567","0.00435002335990472"
"hipStreamDestroy","1","132540","132540","0.00235770056482282"
"hipMemcpy","3","92540","30846","0.00164615670943642"
"hipEventRecord","10","57890","5789","0.00102978184470796"
"hipEventElapsedTime","5","44590","8918","0.000793193512791983"
"hipGetDevice","58","11480","197","0.000204213086495895"
"hipSetDevice","55","10240","186","0.000182155226978917"
"hipGetDeviceProperties","9","9010","1001","0.000160275253425785"
"hiprtcGetCode","7","8060","1151","0.000143376086860359"
"hipMemGetInfo","1","7830","7830","0.000139284709691887"
"hipStreamCreate","1","7790","7790","0.0001385731658365"
"hipEventCreate","2","3190","1595","5.6745622467065e-05"
"hipEventDestroy","2","3010","1505","5.35436751178262e-05"
"__hipPopCallConfiguration","6","2420","403","4.30484032508769e-05"
"__hipPushCallConfiguration","6","2410","401","4.28705172870303e-05"
"hiprtcGetCodeSize","7","1890","270","3.36204471670071e-05"
"hipGetLastError","6","1070","178","1.90337981315861e-05"
"hipGetDeviceCount","1","880","880","1.56539648185007e-05"
"Total","278","5621579007","20221507","100.0"
