"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","7","3578983852","511283407","54.9307055715037"
"hipEventSynchronize","5","1687645410","337529082","25.9021993278917"
"hipFree","9","1132018169","125779796","17.3743608002542"
"hipMalloc","9","54781614","6086846","0.840795274246397"
"hipModuleGetFunction","8","41270577","5158822","0.63342613649576"
"hipModuleLaunchKernel","21","9256069","440765","0.142063340326164"
"hipLaunchKernel","6","6241467","1040244","0.0957948401805912"
"hiprtcCreateProgram","7","3313423","473346","0.0508548433782787"
"hipModuleLoadData","8","780731","97591","0.011982760041675"
"hipStreamSynchronize","3","311881","103960","0.00478678979643135"
"hiprtcDestroyProgram","7","243581","34797","0.00373851259103486"
"hipModuleUnload","8","230641","28830","0.00353990780277966"
"hipStreamDestroy","1","127241","127241","0.0019529112722087"
"hipMemcpy","3","93611","31203","0.00143675369655008"
"hipEventRecord","10","58960","5896","0.000904925681261738"
"hipEventElapsedTime","5","21760","4352","0.000333975285350329"
"hipGetDevice","58","11270","194","0.000172973412954881"
"hipMemGetInfo","1","10710","10710","0.000164378460758365"
"hipSetDevice","55","10510","191","0.000161308834973895"
"hipGetDeviceProperties","9","9920","1102","0.000152253438909709"
"hipStreamCreate","1","8190","8190","0.000125701175874044"
"hiprtcGetCode","7","7210","1030","0.000110660009530141"
"hipEventDestroy","2","2820","1410","4.32817235610261e-05"
"hipEventCreate","2","2670","1335","4.09795042226737e-05"
"__hipPopCallConfiguration","6","2460","410","3.77563971489803e-05"
"hiprtcGetCodeSize","7","2380","340","3.65285468351923e-05"
"__hipPushCallConfiguration","6","2200","366","3.37658836291693e-05"
"hipGetDeviceCount","1","1780","1780","2.73196694817825e-05"
"hipGetLastError","6","1070","178","1.64224979469142e-05"
"Total","278","6515452177","23436878","100.0"
