"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"void generate_random_interleaved_data_kernel<input_val_1D<unsigned long>, double>(input_val_1D<unsigned long>, input_val_1D<unsigned long>, unsigned long, unsigned long, input_val_1D<unsigned long>, rocfft_complex<double>*, input_val_1D<unsigned long>, unsigned long, input_val_1D<unsigned long>, unsigned long)","11","396723838","36065803","68.355"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned","22","55984974","2544771","9.646"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg","11","32945175","2995015","5.676"
"fft_rtc_back_len_256_factors_4_4_4_4_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg","11","32521503","2956500","5.603"
"c2r_even_pre_Ndiv4_dim1_dp_CI_CI","11","32127750","2920704","5.536"
"transpose_rtc_tile32x32_dim2_dp_CI_CI_twd2step_back_diag_aligned","11","29967164","2724287","5.163"
"void impose_hermitian_symmetry_interleaved_1D_kernel<rocfft_complex<double> >(rocfft_complex<double>*, unsigned long, unsigned long, unsigned long, unsigned long, bool)","11","68800","6254","0.012"
"twiddle_gen_radices_dp","1","23360","23360","0.004"
"twiddle_gen_N_dp","1","19679","19679","0.003"
"twiddle_gen_large_dp","1","6720","6720","0.001"
"Total","91","580388963","6377900","100.0"
