"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hiprtcCompileProgram","8","1871965852","233995731","77.1782620890205"
"hipEventSynchronize","10","364618384","36461838","15.0326530650983"
"hipFree","10","151193546","15119354","6.23347648510224"
"hipModuleGetFunction","9","12565143","1396127","0.518041447499664"
"hipMalloc","10","10888549","1088854","0.448918065248523"
"hipModuleLaunchKernel","37","6136475","165850","0.252997390602359"
"hiprtcCreateProgram","8","4256854","532106","0.175503518579513"
"hipLaunchKernel","11","1623341","147576","0.0669278432744897"
"hipModuleLoadData","9","658770","73196","0.027160070073962"
"hipModuleUnload","9","366901","40766","0.0151267617988171"
"hipStreamSynchronize","4","363190","90797","0.0149737629979542"
"hipEventRecord","20","228950","11447","0.00943925504111239"
"hiprtcDestroyProgram","8","212920","26615","0.00877836288863791"
"hipMemcpy","3","97721","32573","0.0040288859658115"
"hipMemGetInfo","1","88470","88470","0.00364748151774279"
"hipStreamDestroy","1","86920","86920","0.00358357741067259"
"hipGetDevice","81","36790","454","0.00151679490265353"
"hipSetDevice","77","32490","421","0.00133951254110392"
"hipEventElapsedTime","10","20670","2067","0.000852192189123359"
"hipStreamCreate","1","16190","16190","0.00066748870546237"
"hipGetDeviceProperties","14","15870","1133","0.000654295599486585"
"hiprtcGetCode","8","10380","1297","0.000427951375089524"
"__hipPopCallConfiguration","11","5220","474","0.000215212541229992"
"__hipPushCallConfiguration","11","4970","451","0.00020490542718641"
"hiprtcGetCodeSize","8","3890","486","0.000160378694518136"
"hipGetLastError","11","3410","310","0.000140589035554458"
"hipEventDestroy","2","3350","1675","0.000138115328183999"
"hipEventCreate","2","2380","1190","9.81237256949005e-05"
"hipGetDeviceCount","1","1610","1610","6.6377814440668e-05"
"Total","395","2425509206","6140529","100.0"
