Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_N_dp,0,1,0,3476,3476,32768,32,0,0,32,0,16,64,0x0,90851,90851,487733,0,0,95232,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,6112,5851,6975,6975,6867,6441,6027,6128,6036,5510,3420,5281,4855,4555,5370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,0,0,92,0,23,0,0,23,46,92,0,23,0,516,512,516,512,513,516,513,561,512,513,513,514,516,512,514,597,157,3868,3526,4646,4653,4525,4256,3759,3893,3770,3064,1748,3026,2491,2365,3132,1319888922388052,1319888926258196,1319888926274996,1319888926298005
1,twiddle_gen_radices_dp,0,1,2,3476,3476,2048,1024,0,0,32,0,64,64,0x0,49585,49585,42525,0,0,10176,96,96,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3110,0,0,0,0,0,3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,10,10,9,13,13,19,11,13,9,11,13,9,14,9,8,4,4,4,6,8,10,14,6,9,4,5,8,5,9,6,829,0,0,0,0,0,827,0,0,0,0,0,0,0,0,0,1319889058647326,1319889059846548,1319889059869108,1319889059887917
2,twiddle_gen_large_dp,0,1,4,3476,3476,2048,1024,0,0,32,0,32,64,0x0,29227,29227,1700,0,0,468,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,1,0,0,1,1,4,0,2,0,8,6,4,4,1,8,5,8,4,4,1,5,4,4,7,6,0,0,0,611,0,0,0,631,0,0,0,0,0,0,0,0,1319889174320112,1319889175417534,1319889175424254,1319889175444833
3,twiddle_gen_radices_dp,0,1,6,3476,3476,2048,1024,0,0,32,0,64,64,0x0,55445,55445,48546,0,0,11456,96,112,0,0,0,48,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,3812,0,0,0,0,0,3122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,9,9,7,14,14,22,11,15,9,10,14,9,13,11,8,4,4,4,5,8,10,14,6,7,4,5,8,5,9,8,0,913,0,0,0,0,0,794,0,0,0,0,0,0,0,0,1319889176446804,1319889177542445,1319889177569165,1319889177573395
4,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,21,3476,3476,65537024,8,0,0,36,0,32,64,0x0,56824779,56824779,3399744029,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12492346,56665860,54775368,48776032,49657125,50596551,53538622,53814188,48066043,53400526,51940045,39934797,55883024,57683110,49520946,52688382,490,806,794,737,949,788,563,898,178,252,763,332,721,887,719,817,824,758,795,788,282,792,866,787,839,927,797,845,760,677,880,603,1024108,1024016,1024108,1024016,1024104,1024108,1024108,1024062,1024016,1024016,1024106,1024062,1024108,1024016,1024108,1024016,1024578,1024131,1024109,1024122,1024182,1024152,1024662,1025815,1024629,1024191,1024176,1027050,1024137,1024145,1024507,1024591,1897453,9073184,8675030,7407017,7550524,7755954,8401436,8456245,7300669,8356471,8118455,6157070,8932296,9321998,7618436,8259162,1319889183514590,1319889184693164,1319889221583054,1319889221618482
5,_ZL47impose_hermitian_symmetry_interleaved_1D_kernelI14rocfft_complexIdEEvPT_mmmmb,0,0,22,3476,3476,1000,8,0,0,8,0,32,64,0x0,20791,20791,2250,0,0,1625,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,1931,3308,3955,4186,4332,3312,3177,2615,2648,2655,1670,2209,1663,1780,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,46,0,0,0,0,0,0,100,64,64,64,48,91,128,69,128,66,56,152,64,65,128,64,121,1611,2956,3603,3866,4012,2992,2857,2295,2328,2335,1430,1873,1343,1460,1470,1319889184719201,1319889221708331,1319889221712171,1319889222167452
6,c2r_even_pre_Ndiv4_dim1_dp_CI_CI,0,0,23,3476,3476,65536000,256,0,0,24,0,32,64,0x0,4630117,4630117,127942619,0,0,65050000,1539000,1538000,0,0,25896,101409,102495,102210,104856,101553,102834,102771,104979,101556,102024,76521,104514,101367,102219,101796,4575780,18399454,18320565,18357095,18206071,18394030,18371162,18352830,18284739,18364691,18342428,13761113,18199221,18361566,18360171,18348732,16504,14754,19009,35980,13708,14626,14341,1461956,23093,13988,10649,12552,23104,9928,12601,10942,13005,15067,18911,35940,20594,14506,11337,683061,23578,11607,16492,7523,51399,9595,12242,9404,952742,943978,948031,1204672,954512,948446,955208,1189018,1207792,949547,949138,948515,1201661,949975,949289,953457,2140380,2149369,2145357,2144859,2136400,2144931,2138293,2161824,2141847,2143859,2143313,2144442,2148099,2143693,2144146,2139508,3179253,11904107,11958744,12287866,12368843,12046488,12014710,12041484,12335684,11936809,12175411,9332471,12518407,12068580,12005095,12236531,1319889186027112,1319889221830089,1319889224756103,1319889224759484
7,fft_rtc_back_len_256_factors_4_4_4_4_wgs_256_tpt_64_dim_2_dp_op_CI_CI_sbcc_twdbase6_3step_dirReg,0,0,24,3476,3476,16384000,256,19456,0,60,0,32,64,0x0,8376030,8376030,347753038,0,9408000,73024000,3520000,1024000,59176000,13397634,59400,234135,233970,234740,237545,234080,233255,234300,236830,233585,233585,176495,237270,233475,232925,234410,4790280,19611853,19542157,19488573,19247071,19675689,19679283,19509417,19330117,19659950,19606533,14626449,19262901,19632010,19676083,19549797,1309,1477,1473,722,1292,750,1703,1450,292,2316,1101,647,1305,864,896,1141,1019,1151,1267,1027,934,1188,913,843,1516,1866,783,736,817,493,943,1269,162483,133294,98461,161791,73954,161880,162442,202111,162462,133363,98461,162175,98564,161789,162575,140320,2048008,2048013,2048008,2048014,2048007,2048012,2048008,2048014,2048008,2048015,2048008,2048012,2048007,2048016,2048012,2048012,1404994,5883719,5933875,5746816,5550123,5891648,5976674,5869699,5646613,6006534,5903207,4375504,5644462,5955983,6014550,5915426,1319889187263493,1319889224878660,1319889230179021,1319889230182419
8,fft_rtc_back_len_256_factors_8_8_4_wgs_256_tpt_32_dim_2_dp_op_CI_CI_unitstride_sbrc_aligned_dirReg,0,0,25,3476,3476,8192000,256,32768,0,68,0,32,64,0x0,5591637,5591637,211229348,0,6144000,39552000,2688000,1024000,57344000,19197861,45444,178332,179004,179844,181524,177828,177492,179592,182196,177912,178332,133476,181524,177072,178332,180096,2909700,11951898,11803205,11914808,11742095,11979319,11797491,11964585,11765522,12081883,11918755,8952003,11842756,11972530,11944175,12032888,8186,8456,6245,4451,7093,6317,4549,12298,4770,11558,2537,8760,7502,7774,5901,8963,6513,9474,5358,6029,6619,4605,2763,8698,3743,9562,3710,7998,7255,8387,6079,8146,117072,137541,117158,116458,58324,116555,116728,140077,116438,133995,117084,116540,117120,116550,116958,125762,2048008,2048011,2048008,2048012,2048008,2048011,2048008,2048014,2048008,2048009,2048008,2048004,2048008,2048008,2048012,2048010,1120128,4842711,4747546,4772831,4592464,4897522,4814937,4838475,4628211,4975943,4873229,3663149,4638776,4898821,4822434,4812043,1319889188557154,1319889230298698,1319889233833178,1319889233837182
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,26,3476,3476,65537024,8,0,0,36,0,32,64,0x0,56811718,56811718,3399736793,0,0,2244642277,0,16384250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17234850,50927621,48027559,51750939,50015470,49293518,54101252,52750094,52973374,52913378,52341084,34969260,58649489,52737906,52925073,52049982,761,784,779,710,745,787,755,558,137,786,826,372,705,546,84,730,821,762,755,786,517,821,572,788,810,684,771,818,721,767,890,702,1024108,1024062,1024108,1024016,1024104,1024108,1024108,1024016,1024016,1024016,1024106,1024062,1024108,1024016,1024108,1024016,1024020,1024018,1024020,1024016,1024016,1024020,1024044,1024016,1024016,1024016,1024018,1024018,1024020,1024016,1024020,1024016,2716120,7457351,6843393,7523885,7244045,7137433,8066150,7715596,7735259,7743140,7629660,4868097,9005933,7709358,7788127,7657124,1319889189872675,1319889233955118,1319889269947583,1319889269954622
