Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_VALU,SQ_INSTS_FLAT_LDS_ONLY,SQ_INSTS_LDS,SQ_INSTS_VALU,SQ_INSTS_VMEM_RD,SQ_INSTS_VMEM_WR,SQ_LDS_BANK_CONFLICT,SQ_WAIT_INST_LDS,TA_FLAT_READ_WAVEFRONTS[0],TA_FLAT_READ_WAVEFRONTS[1],TA_FLAT_READ_WAVEFRONTS[2],TA_FLAT_READ_WAVEFRONTS[3],TA_FLAT_READ_WAVEFRONTS[4],TA_FLAT_READ_WAVEFRONTS[5],TA_FLAT_READ_WAVEFRONTS[6],TA_FLAT_READ_WAVEFRONTS[7],TA_FLAT_READ_WAVEFRONTS[8],TA_FLAT_READ_WAVEFRONTS[9],TA_FLAT_READ_WAVEFRONTS[10],TA_FLAT_READ_WAVEFRONTS[11],TA_FLAT_READ_WAVEFRONTS[12],TA_FLAT_READ_WAVEFRONTS[13],TA_FLAT_READ_WAVEFRONTS[14],TA_FLAT_READ_WAVEFRONTS[15],TA_TA_BUSY[0],TA_TA_BUSY[1],TA_TA_BUSY[2],TA_TA_BUSY[3],TA_TA_BUSY[4],TA_TA_BUSY[5],TA_TA_BUSY[6],TA_TA_BUSY[7],TA_TA_BUSY[8],TA_TA_BUSY[9],TA_TA_BUSY[10],TA_TA_BUSY[11],TA_TA_BUSY[12],TA_TA_BUSY[13],TA_TA_BUSY[14],TA_TA_BUSY[15],TCC_EA_WRREQ_STALL[0],TCC_EA_WRREQ_STALL[1],TCC_EA_WRREQ_STALL[2],TCC_EA_WRREQ_STALL[3],TCC_EA_WRREQ_STALL[4],TCC_EA_WRREQ_STALL[5],TCC_EA_WRREQ_STALL[6],TCC_EA_WRREQ_STALL[7],TCC_EA_WRREQ_STALL[8],TCC_EA_WRREQ_STALL[9],TCC_EA_WRREQ_STALL[10],TCC_EA_WRREQ_STALL[11],TCC_EA_WRREQ_STALL[12],TCC_EA_WRREQ_STALL[13],TCC_EA_WRREQ_STALL[14],TCC_EA_WRREQ_STALL[15],TCC_EA_WRREQ_STALL[16],TCC_EA_WRREQ_STALL[17],TCC_EA_WRREQ_STALL[18],TCC_EA_WRREQ_STALL[19],TCC_EA_WRREQ_STALL[20],TCC_EA_WRREQ_STALL[21],TCC_EA_WRREQ_STALL[22],TCC_EA_WRREQ_STALL[23],TCC_EA_WRREQ_STALL[24],TCC_EA_WRREQ_STALL[25],TCC_EA_WRREQ_STALL[26],TCC_EA_WRREQ_STALL[27],TCC_EA_WRREQ_STALL[28],TCC_EA_WRREQ_STALL[29],TCC_EA_WRREQ_STALL[30],TCC_EA_WRREQ_STALL[31],TCC_EA1_WRREQ_STALL[0],TCC_EA1_WRREQ_STALL[1],TCC_EA1_WRREQ_STALL[2],TCC_EA1_WRREQ_STALL[3],TCC_EA1_WRREQ_STALL[4],TCC_EA1_WRREQ_STALL[5],TCC_EA1_WRREQ_STALL[6],TCC_EA1_WRREQ_STALL[7],TCC_EA1_WRREQ_STALL[8],TCC_EA1_WRREQ_STALL[9],TCC_EA1_WRREQ_STALL[10],TCC_EA1_WRREQ_STALL[11],TCC_EA1_WRREQ_STALL[12],TCC_EA1_WRREQ_STALL[13],TCC_EA1_WRREQ_STALL[14],TCC_EA1_WRREQ_STALL[15],TCC_EA1_WRREQ_STALL[16],TCC_EA1_WRREQ_STALL[17],TCC_EA1_WRREQ_STALL[18],TCC_EA1_WRREQ_STALL[19],TCC_EA1_WRREQ_STALL[20],TCC_EA1_WRREQ_STALL[21],TCC_EA1_WRREQ_STALL[22],TCC_EA1_WRREQ_STALL[23],TCC_EA1_WRREQ_STALL[24],TCC_EA1_WRREQ_STALL[25],TCC_EA1_WRREQ_STALL[26],TCC_EA1_WRREQ_STALL[27],TCC_EA1_WRREQ_STALL[28],TCC_EA1_WRREQ_STALL[29],TCC_EA1_WRREQ_STALL[30],TCC_EA1_WRREQ_STALL[31],TCC_HIT[0],TCC_HIT[1],TCC_HIT[2],TCC_HIT[3],TCC_HIT[4],TCC_HIT[5],TCC_HIT[6],TCC_HIT[7],TCC_HIT[8],TCC_HIT[9],TCC_HIT[10],TCC_HIT[11],TCC_HIT[12],TCC_HIT[13],TCC_HIT[14],TCC_HIT[15],TCC_HIT[16],TCC_HIT[17],TCC_HIT[18],TCC_HIT[19],TCC_HIT[20],TCC_HIT[21],TCC_HIT[22],TCC_HIT[23],TCC_HIT[24],TCC_HIT[25],TCC_HIT[26],TCC_HIT[27],TCC_HIT[28],TCC_HIT[29],TCC_HIT[30],TCC_HIT[31],TCC_MISS[0],TCC_MISS[1],TCC_MISS[2],TCC_MISS[3],TCC_MISS[4],TCC_MISS[5],TCC_MISS[6],TCC_MISS[7],TCC_MISS[8],TCC_MISS[9],TCC_MISS[10],TCC_MISS[11],TCC_MISS[12],TCC_MISS[13],TCC_MISS[14],TCC_MISS[15],TCC_MISS[16],TCC_MISS[17],TCC_MISS[18],TCC_MISS[19],TCC_MISS[20],TCC_MISS[21],TCC_MISS[22],TCC_MISS[23],TCC_MISS[24],TCC_MISS[25],TCC_MISS[26],TCC_MISS[27],TCC_MISS[28],TCC_MISS[29],TCC_MISS[30],TCC_MISS[31],TCP_TCP_TA_DATA_STALL_CYCLES[0],TCP_TCP_TA_DATA_STALL_CYCLES[1],TCP_TCP_TA_DATA_STALL_CYCLES[2],TCP_TCP_TA_DATA_STALL_CYCLES[3],TCP_TCP_TA_DATA_STALL_CYCLES[4],TCP_TCP_TA_DATA_STALL_CYCLES[5],TCP_TCP_TA_DATA_STALL_CYCLES[6],TCP_TCP_TA_DATA_STALL_CYCLES[7],TCP_TCP_TA_DATA_STALL_CYCLES[8],TCP_TCP_TA_DATA_STALL_CYCLES[9],TCP_TCP_TA_DATA_STALL_CYCLES[10],TCP_TCP_TA_DATA_STALL_CYCLES[11],TCP_TCP_TA_DATA_STALL_CYCLES[12],TCP_TCP_TA_DATA_STALL_CYCLES[13],TCP_TCP_TA_DATA_STALL_CYCLES[14],TCP_TCP_TA_DATA_STALL_CYCLES[15],DispatchNs,BeginNs,EndNs,CompleteNs
0,twiddle_gen_radices_dp,0,1,0,4096383,4096383,2048,1024,0,0,32,0,48,64,0x0,42054,42054,23744,0,0,23552,96,224,0,0,0,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,5280,0,0,4919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,15,12,12,12,16,12,12,12,13,12,12,12,16,18,13,12,16,12,12,12,13,13,12,15,12,12,12,15,16,12,2,8,7,4,4,4,8,4,4,4,5,4,4,4,8,8,5,4,8,4,4,4,5,5,4,7,4,5,4,8,9,4,0,0,0,0,0,0,0,1134,0,0,1014,0,0,0,0,0,2343847002952471,2343847007523261,2343847007541341,2343847007578890
1,twiddle_gen_large_dp,0,1,2,4096383,4096383,8192,1024,0,0,32,0,32,64,0x0,21235,21235,2096,0,0,2096,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,604,1297,0,702,0,0,719,701,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0,0,0,21,7,23,28,0,0,0,0,14,7,0,0,0,0,0,0,28,0,8,4,12,4,8,4,12,4,8,4,8,4,8,4,11,5,9,8,8,4,8,4,10,5,8,4,8,5,8,5,13,4,555,531,1151,0,629,0,0,646,628,633,0,0,0,0,0,0,2343847125684321,2343847126857768,2343847126862408,2343847127087947
2,twiddle_gen_radices_dp,0,1,4,4096383,4096383,8192,1024,0,0,32,0,48,64,0x0,31357,31357,48352,0,0,47584,384,400,0,0,0,0,96,96,0,48,0,0,48,48,48,0,0,0,0,0,0,0,5973,5744,0,3663,0,0,2994,3078,2942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,39,18,19,19,46,22,14,18,26,20,19,19,48,54,27,18,46,19,19,18,26,29,19,40,18,21,18,41,47,19,8,12,11,8,8,8,12,8,6,8,9,8,8,8,12,12,9,8,12,8,8,8,9,9,8,11,8,9,8,12,13,8,0,0,1434,1348,0,948,0,0,786,753,715,0,0,0,0,0,2343847130965163,2343847131836966,2343847131847526,2343847132038128
3,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,27,4096383,4096383,524288000,8,0,0,16,0,32,64,0x0,328217975,328217975,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227136906,227630435,454925897,454817777,454692724,454980345,454808439,454802728,454924579,455161031,454982349,0,0,0,0,0,40446,41075,39975,40248,40352,40327,40034,40845,40539,40990,40575,40405,40235,41355,41070,40406,40719,40056,40795,40547,40868,40617,40152,40544,40214,40155,40943,40270,40273,40195,39988,40282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133,3629,4435,2986,4577,1920,4584,2840,4901,3790,4828,3339,4652,3805,78085,7440,5739,3599,4667,2995,4477,3579,4563,2961,4961,3793,4892,3514,3355,3635,6151,5358,4096012,4096014,4096012,4096008,4096017,4096005,4096012,4096008,4096014,4096014,4096012,4096012,4096012,4096014,4096127,4096096,4096055,4096014,4096012,4096008,4096012,4096014,4096012,4096010,4096016,4096014,4096012,4096013,4096012,4096020,4096060,4096052,40587659,41126693,81879877,81781415,81664205,81985451,81820191,81807258,81941702,82155098,82014542,0,0,0,0,0,2343847178907547,2343847179952994,2343847398748629,2343847398789588
4,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,28,4096383,4096383,524288000,1024,16384,0,12,0,32,64,0x0,22128882,22128882,319488000,0,16384000,270336000,8192000,8192000,458752000,167654750,411616,411376,821184,820816,819920,819456,818736,818816,818032,816176,815872,0,0,0,0,0,22773602,22837911,45696462,45867714,45788030,45869870,45858361,45849347,45955951,46019997,45945599,0,0,0,0,0,1017964,983885,840569,875251,942047,1043056,947497,968925,791982,1004053,943827,891079,1012445,985697,1418046,884457,977031,962580,900002,787198,1003204,991744,976044,992121,942577,907760,1006188,985394,935658,852354,1121868,895484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,5350,2102,2436,1640,3711,2322,2025,1600,4490,1677,3898,2067,5374,35383,2240,2252,4875,2044,2100,1917,5074,2128,3301,2165,4368,2147,3515,3761,5211,17675,1416,6144032,6144042,6144023,6144025,6144022,6144037,6144024,6144024,6144019,6144041,6144021,6144038,6144023,6144042,6144265,6144024,6144025,6144039,6144021,6144025,6144023,6144042,6144022,6144039,6144023,6144040,6144023,6144033,6144035,6144043,6144139,6144017,5456847,5543950,11221788,11415790,11347566,11380991,11480729,11537172,11657968,11759124,11713863,0,0,0,0,0,2343847179971821,2343847399647987,2343847414388624,2343847414410715
5,fft_rtc_fwd_len_512_factors_8_8_8_wgs_64_tpt_64_halfLds_dp_ip_CI_unitstride_sbrr_dirReg,0,0,29,4096383,4096383,65536000,64,4096,0,64,0,32,64,0x0,19585792,19585792,324608000,0,49152000,324608000,22528000,8192000,262144000,60925809,1128006,1127280,2254362,2255242,2253812,2253592,2254142,2251656,2249698,2250512,2249698,0,0,0,0,0,69355802,70283923,140157583,140259305,140773525,141422376,140963227,141196181,141546049,142104771,142086172,0,0,0,0,0,7378656,6495192,6746755,6512583,6260265,6731513,6708765,6312934,6874772,6127781,6645205,6799408,6701422,6800907,6386409,6850969,6285699,6697181,6979564,6392186,6316722,6876367,6313223,6730935,6542603,6679394,6595058,6697675,6843518,7328598,6643511,6517325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718963,995545,1123720,930696,1092501,1103179,1069825,1102659,980296,1095893,1088708,1093053,1121030,1123844,978575,740144,1090829,1066910,1094318,717959,1100383,1123052,1105749,979473,999122,975771,1001137,1087521,1069252,1092666,1069367,730066,5585762,5590339,5584953,5591193,5584979,5587520,5586860,5587889,5583990,5585539,5588844,5586882,5587611,5585785,5585892,5588828,5589843,5588227,5586966,5587631,5589623,5586517,5586119,5585914,5588149,5589556,5586281,5590177,5587260,5585119,5587179,5589497,11622975,12071593,23833501,24091896,24426475,24743361,24465769,24658612,24833167,25086363,25211819,0,0,0,0,0,2343847181216576,2343847415284464,2343847428326861,2343847428349544
6,transpose_rtc_tile32x32_dim2_dp_CI_CI_twd3step_fwd_diag_aligned,0,0,30,4096383,4096383,524288000,1024,16384,0,24,0,32,64,0x0,22838000,22838000,491520000,0,16384000,442368000,32768000,8192000,458752000,29588266,1651584,1648576,3295552,3288960,3281536,3277824,3275392,3268096,3264704,3260032,3255744,0,0,0,0,0,66803131,66851758,133662949,133669624,133726795,133594210,133540305,133692152,133691170,133617169,133695820,0,0,0,0,0,18342,22385,15865,14492,16571,15685,14874,20028,17312,17490,17676,18748,14756,10891,22189,19876,16198,22552,19499,24347,18326,16142,15495,22378,17498,22129,14732,20118,16467,22468,12802,19484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457640,592959,457253,548533,454332,579409,459020,528613,454513,576628,459896,534636,456603,594248,470894,549179,460661,590152,456349,552333,626979,574231,456741,531876,459858,568177,459424,534360,459003,589211,457509,548699,6144027,6144040,6144028,6144040,6144028,6144036,6144028,6144046,6144032,6144027,6144028,6144040,6144027,6144040,6144414,6144041,6144028,6144040,6144028,6144040,6144029,6144028,6144028,6144040,6144028,6144032,6144028,6144044,6144028,6144041,6144029,6144040,2384434,2474494,4916432,4978459,4972402,5041536,5080349,5113463,5173505,5174024,5200180,0,0,0,0,0,2343847182432802,2343847429224621,2343847444437898,2343847444461832
7,fft_rtc_fwd_len_1024_factors_8_8_4_4_wgs_128_tpt_128_halfLds_dp_op_CI_CI_unitstride_sbrr_dirReg,0,0,31,4096383,4096383,65536000,128,8192,0,64,0,32,64,0x0,19152759,19152759,397312000,0,73728000,397312000,24576000,8192000,262144000,196400507,1235472,1236048,2466528,2462736,2460240,2460480,2456688,2452272,2450304,2447904,2447328,0,0,0,0,0,66382144,66375266,132846914,132911545,132895244,132931937,132998298,132977880,133006405,133057746,133165543,0,0,0,0,0,5386162,5608371,5386178,5623523,5538386,5785021,5432989,5801003,6305905,5446234,5568349,5706425,5652590,5772497,5548627,5314453,5773809,5414801,5444693,5539964,5466863,5726502,5357172,5569740,5512538,5310951,5304552,5971451,5729998,5762469,5550941,5525360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332520,2138868,2326488,2133320,2328328,2139056,2328328,1914988,1743398,2138962,2328328,2023223,2332379,2138868,2326488,2133320,2332331,2139009,2326486,2133320,2330424,2138915,2328328,1929491,2328328,2139056,2328328,1922564,2332537,2232584,2327413,2133320,6144012,6144008,6144012,6144008,6144012,6144012,6144012,6144010,6144010,6144010,6144012,6144012,6144009,6144008,6144012,6144008,6144009,6144011,6144014,6144008,6144012,6144009,6144012,6144008,6144012,6144012,6144012,6144013,6144013,6144009,6144013,6144009,14977983,15143450,30301238,30558032,30466923,30486420,30487995,30680545,30602701,30769614,30685902,0,0,0,0,0,2343847183642247,2343847445333898,2343847458088935,2343847458111050
8,transpose_rtc_tile32x32_dim2_dp_CI_CI_diag_aligned,0,0,32,4096383,4096383,524288000,1024,16384,0,12,0,32,64,0x0,22143639,22143639,319488000,0,16384000,270336000,8192000,8192000,458752000,161141179,410704,410928,820688,820096,820624,819904,818880,818048,818096,817584,816448,0,0,0,0,0,20630782,20728242,41435564,41480572,41586518,41568575,41582418,41614540,41684317,41763923,41781924,0,0,0,0,0,447415,511214,481217,465572,527541,556758,457269,438764,441521,410720,448585,468862,452043,566888,456866,478660,414468,532954,414524,464335,513638,468537,469524,474700,483806,475970,437690,486708,453274,465698,460291,466955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,188,0,0,0,188,0,0,0,47,0,0,0,0,15,0,83,0,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144000,6144002,6144000,6144000,6144000,6144004,6144000,6144000,6144000,6144005,6144000,6144000,6144000,6144001,6144000,6144000,6144000,6144000,6144001,6144001,6144001,6144000,3650473,3744918,7497032,7581013,7657189,7638071,7714904,7850160,7938030,7996856,8077761,0,0,0,0,0,2343847184805642,2343847458984032,2343847473734267,2343847473763356
9,_ZL39generate_random_interleaved_data_kernelI12input_val_1DImEdEvT_S2_mmS2_P14rocfft_complexIT0_ES2_mS2_m,0,0,33,4096383,4096383,524288000,8,0,0,16,0,32,64,0x0,328215375,328215375,10420224000,0,0,10223616000,0,65536000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226774240,226543225,453417013,453359744,453440410,453519404,453370238,453488305,453321357,453640261,453654851,0,0,0,0,0,1716,1771,1732,1632,1666,1662,1710,1780,1713,1763,1810,1772,1887,1703,1756,1718,1783,1696,1893,1709,1763,1648,1894,1726,1732,1840,1773,1727,1670,1684,1764,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3209,3161,4672,3073,4767,1578,4623,2976,4828,1716,5280,3569,3385,3648,75431,3472,2960,3197,4757,3043,3044,1998,4451,2904,5148,1688,5122,3236,3497,3410,5129,3352,4096012,4096008,4096012,4096008,4096016,4096004,4096012,4096008,4096014,4096004,4096012,4096012,4096008,4096008,4096015,4096008,4096009,4096010,4096012,4096008,4096008,4096006,4096012,4096010,4096016,4096004,4096012,4096008,4096012,4096008,4096012,4096008,40199183,39932723,80257320,80181606,80310392,80367748,80229508,80346549,80210707,80531600,80578124,0,0,0,0,0,2343847185950906,2343847474631267,2343847693426748,2343847693459057
