Stage,Length,Factors,WGS,TPT,Total_Time_ms
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",256,64,439.4332453636364
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,128,450.4623664545454
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",64,64,451.89032572727274
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,128,452.98233963636363
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,128,453.24953227272727
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,128,453.98327963636365
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",128,64,454.0169125454546
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",512,32,455.27196100000003
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",64,64,455.3604688181818
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",64,64,455.5488204545454
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",128,128,455.7775240909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",512,64,456.66252072727275
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",1024,64,457.6596330909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",64,64,458.5665324545455
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",64,64,460.73347954545454
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,128,462.1509331818182
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",128,64,462.3778035454545
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",128,64,462.86724436363636
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",128,128,462.885456
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",128,128,463.4698072727273
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",256,128,464.0719935454546
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,64,464.41670554545453
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",64,64,464.8982094545455
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,128,465.2576111818182
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",128,64,465.5048402727273
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",64,32,465.5360070909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",512,64,465.64254927272725
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",128,32,465.6913988181818
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",256,128,466.64563645454547
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",64,64,466.6922425454545
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",128,64,466.8242622727273
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,64,467.2989309090909
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",256,128,467.8362138181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",64,32,468.23596572727274
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,256,468.4225619090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",256,64,468.7842744545454
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",512,32,468.8456488181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",256,32,468.9782066363636
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",256,128,468.98909236363636
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",128,64,469.59163336363633
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,256,469.7238059090909
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",128,32,469.8254303636363
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",128,128,470.93588227272727
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,64,471.382593
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",128,128,472.1863757272727
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,64,472.4772239090909
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,32,472.6738263636364
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,64,472.96450836363636
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,128,474.32534463636364
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",1024,128,474.3947820909091
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",128,32,475.306846
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",64,32,475.5631639090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,128,475.913793
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",128,128,476.12635445454544
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",64,64,476.42483863636363
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,128,476.4845149090909
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",128,64,476.69857745454544
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",256,32,476.8556079090909
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",512,32,477.26597236363637
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",128,32,477.56506172727273
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",64,64,477.67863527272726
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,64,477.73263799999995
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",64,32,477.8202169090909
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",1024,128,478.35787818181814
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",512,64,478.46351927272724
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",1024,64,479.27137727272725
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",256,64,479.96407963636364
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",512,64,480.19027836363637
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",256,32,480.33920445454544
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,256,480.7451041818182
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",256,128,481.3416758181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",128,64,481.39551218181816
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",256,64,481.6048712727272
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",256,32,482.5357941818182
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",64,32,483.73738036363636
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",512,128,484.5837548181818
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",512,64,484.7209019090909
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",256,64,484.76919572727274
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",256,64,485.32585190909094
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",512,128,485.3496040909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,64,485.56842090909095
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",512,64,485.7677451818182
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",1024,128,485.9560796363636
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",128,128,485.98915163636366
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",128,128,486.10831590909095
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",64,64,486.2552231818182
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",64,32,486.3590138181818
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",512,64,486.37648845454544
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",512,64,486.52663790909094
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",128,64,486.6960823636364
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",64,32,486.7829916363637
