Stage,Length,Factors,WGS,TPT,Total_Time_ms
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,54.10497345454545
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,54.696833727272725
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",512,512,55.25985536363637
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",512,512,55.60561
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",1024,512,56.09963136363637
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",512,512,56.454989
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",1024,512,56.59407990909091
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",256,256,56.71985372727273
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",512,256,56.794526363636365
512K_z2z_1024_sbrr,1024,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,56.87861845454545
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",512,512,56.88519381818182
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",512,512,56.89520754545455
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",1024,512,57.11115036363637
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",512,512,57.13986227272727
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",1024,512,57.390645
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",1024,1024,57.41064063636363
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",1024,1024,57.44641236363637
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",1024,1024,57.50327972727273
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 4]",1024,512,57.51717536363637
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,57.625355454545456
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",1024,512,57.657309090909095
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",1024,1024,57.79141454545454
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",256,256,57.88383190909091
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 4, 2, 2]",512,256,58.11555472727272
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",1024,1024,58.34416681818182
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",1024,512,58.55661890909091
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",512,512,58.937893
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",256,256,59.10517854545455
512K_z2z_1024_sbrr,1024,"[4, 4, 4, 2, 2, 2, 2]",256,256,59.192743
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",512,512,59.26353027272727
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",512,512,59.285332363636364
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",1024,1024,59.552572454545455
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",1024,1024,59.55590781818182
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",1024,1024,59.802209090909095
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",512,512,59.80794363636363
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",512,256,59.873377272727275
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",256,256,59.89230454545455
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",1024,1024,60.048916454545456
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 4, 2]",1024,512,60.17324572727273
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",1024,1024,60.22849309090909
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",1024,512,60.317966727272726
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",256,256,60.370419363636366
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",1024,512,60.371671272727276
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",512,512,60.60023327272727
512K_z2z_1024_sbrr,1024,"[4, 2, 2, 2, 2, 2, 2, 2, 2]",256,256,60.76703709090909
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",1024,512,60.81678527272727
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",256,256,60.89992
512K_z2z_1024_sbrr,1024,"[4, 4, 2, 2, 2, 2, 2, 2]",256,256,60.95168363636363
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",256,256,60.984998090909095
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",1024,1024,61.05019272727273
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",1024,1024,61.093067454545455
512K_z2z_1024_sbrr,1024,"[8, 4, 4, 2, 2, 2]",512,256,61.26204827272727
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 2, 2]",512,256,61.391563
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",1024,512,61.49430127272727
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",256,256,61.50797854545455
512K_z2z_1024_sbrr,1024,"[8, 2, 2, 2, 2, 2, 2, 2]",256,256,61.54355127272727
512K_z2z_1024_sbrr,1024,"[8, 8, 2, 2, 2, 2]",512,256,61.91790154545455
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",512,512,62.040341727272725
512K_z2z_1024_sbrr,1024,"[8, 8, 4, 4]",512,256,62.04901
512K_z2z_1024_sbrr,1024,"[8, 8, 8, 2]",1024,512,62.377506545454544
512K_z2z_1024_sbrr,1024,"[8, 4, 2, 2, 2, 2, 2]",512,256,62.57455318181818
