nohup: ignoring input

=======================================================
========== 启动 N=131072 的两步解耦调优 ==========
=======================================================
Stage 1: 调优 256_sbrc (15 种排列)
Stage 2: 调优 256_sbcc (15 种排列)

>>> 阶段 1：固定 256_sbcc 为保底值，爆破 256_sbrc <<<
测 256_sbrc: f=[8, 4, 4, 2], wgs=64, tpt=16 ... [建库: 41.0s | 运行: 3.2s] [成功] 13.9948 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=64, tpt=32 ... [建库: 41.4s | 运行: 2.9s] [成功] 14.4051 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=64, tpt=64 ... [编译失败]
测 256_sbrc: f=[8, 4, 4, 2], wgs=128, tpt=16 ... [建库: 41.0s | 运行: 3.3s] [成功] 14.9705 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=128, tpt=32 ... [建库: 39.7s | 运行: 2.9s] [成功] 13.7894 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=128, tpt=64 ... [建库: 40.0s | 运行: 2.9s] [成功] 14.4782 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=128, tpt=128 ... [建库: 39.8s | 运行: 3.0s] [成功] 17.8497 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=256, tpt=16 ... [建库: 39.9s | 运行: 3.4s] [成功] 14.9921 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=256, tpt=32 ... [建库: 39.7s | 运行: 3.0s] [成功] 13.7831 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=256, tpt=64 ... [建库: 40.7s | 运行: 3.0s] [成功] 13.3500 ms
测 256_sbrc: f=[8, 4, 4, 2], wgs=256, tpt=128 ...
