Stage,Length,Factors,WGS,TPT,GPU_Time_ms
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",256,16,48.55824
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",256,16,49.061558
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",256,32,49.075596
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",256,16,49.285056
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",256,16,49.412378
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",512,32,49.415723
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",256,32,49.57529
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",512,32,49.593023
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,32,49.813513
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 4, 2]",512,512,50.069583
N=524288_Stage1_4096_sbrr,4096,"[8, 4, 4, 4, 4, 2]",256,256,50.154027
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",256,16,50.181692
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",128,16,50.191711
N=524288_Stage1_4096_sbrr,4096,"[16, 8, 8, 4]",256,256,50.200413
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",128,16,50.237922
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 4, 4, 4]",256,256,50.273424
N=524288_Stage2_64_sbcc,64,"[4, 2, 2, 2, 2]",128,16,50.334449
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",1024,16,50.408694
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 4]",256,256,50.412735
N=524288_Stage2_64_sbcc,64,"[4, 4, 4]",512,16,50.508471
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",256,32,50.537932
N=524288_Stage2_64_sbcc,64,"[2, 2, 2, 2, 2, 2]",256,16,50.547486
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",1024,16,50.59248
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",512,16,50.619156
N=524288_Stage1_4096_sbrr,4096,"[4, 4, 4, 4, 4, 4]",256,256,50.671898
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",1024,32,50.693943
N=524288_Stage2_64_sbcc,64,"[8, 4, 2]",128,16,50.876198
N=524288_Stage1_4096_sbrr,4096,"[16, 4, 4, 4, 2, 2]",256,256,50.990301
N=524288_Stage2_64_sbcc,64,"[8, 2, 2, 2]",128,16,51.034465
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",512,16,51.063011
N=524288_Stage2_64_sbcc,64,"[4, 4, 2, 2]",1024,16,51.139808
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 8, 4, 2]",256,256,51.182656
N=524288_Stage1_4096_sbrr,4096,"[8, 8, 2, 2, 2, 2, 2, 2]",512,512,51.257908
