Stage,Length,Factors,WGS,TPT,GPU_Time_ms
Stage2_128,128,"[8, 4, 4]",256,32,5.288808
Stage2_128,128,"[8, 4, 2, 2]",256,32,5.311655
Stage2_128,128,"[4, 4, 4, 2]",256,32,5.341913
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",512,64,5.357257
Stage2_128,128,"[8, 4, 2, 2]",128,32,5.412484
Stage2_128,128,"[4, 4, 2, 2, 2]",512,64,5.419335
Stage2_128,128,"[4, 4, 2, 2, 2]",256,32,5.42255
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",256,64,5.425184
Stage2_128,128,"[8, 4, 4]",128,32,5.426171
Stage2_128,128,"[8, 2, 2, 2, 2]",256,32,5.450652
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",256,64,5.454331
Stage2_128,128,"[4, 4, 2, 2, 2]",256,64,5.470186
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,64,5.48383
Stage2_128,128,"[8, 2, 2, 2, 2]",128,32,5.524556
Stage2_128,128,"[16, 2, 2, 2]",256,32,5.525821
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",256,32,5.530926
Stage2_128,128,"[16, 4, 2]",256,32,5.537531
Stage2_128,128,"[4, 4, 4, 2]",128,32,5.544906
Stage2_128,128,"[4, 4, 2, 2, 2]",128,32,5.56409
Stage2_128,128,"[4, 4, 4, 2]",64,16,5.580961
Stage2_128,128,"[8, 8, 2]",64,16,5.598473
Stage2_128,128,"[8, 8, 2]",256,32,5.606517
Stage2_128,128,"[8, 4, 2, 2]",64,16,5.614223
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",256,32,5.625586
Stage2_128,128,"[8, 4, 4]",64,16,5.644073
Stage2_128,128,"[16, 8]",128,16,5.671678
Stage2_128,128,"[16, 4, 2]",128,32,5.683054
Stage2_128,128,"[4, 4, 2, 2, 2]",64,16,5.688199
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",128,32,5.700058
Stage2_128,128,"[16, 4, 2]",64,16,5.707202
Stage2_128,128,"[8, 2, 2, 2, 2]",256,64,5.71082
Stage2_128,128,"[4, 4, 4, 2]",512,64,5.726966
Stage2_128,128,"[16, 8]",64,16,5.736856
Stage2_128,128,"[16, 2, 2, 2]",64,16,5.746893
Stage2_128,128,"[8, 8, 2]",128,16,5.763533
Stage2_128,128,"[8, 4, 4]",128,16,5.766106
Stage2_128,128,"[16, 2, 2, 2]",128,32,5.769829
Stage2_128,128,"[8, 2, 2, 2, 2]",512,64,5.791545
Stage2_128,128,"[4, 4, 4, 2]",256,64,5.792405
Stage2_128,128,"[16, 4, 2]",128,16,5.79857
Stage2_128,128,"[8, 8, 2]",128,32,5.81646
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,32,5.827356
Stage2_128,128,"[4, 4, 4, 2]",1024,32,5.849409
Stage2_128,128,"[16, 2, 2, 2]",128,16,5.851545
Stage2_128,128,"[4, 4, 4, 2]",512,32,5.8538
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",1024,64,5.949143
Stage2_128,128,"[8, 4, 4]",512,32,5.952125
Stage2_128,128,"[8, 2, 2, 2, 2]",64,16,5.95685
Stage2_128,128,"[8, 4, 4]",1024,32,5.95707
Stage2_128,128,"[8, 2, 2, 2, 2]",1024,64,5.978107
Stage2_128,128,"[4, 4, 4, 2]",128,16,5.981318
Stage2_128,128,"[8, 8, 2]",1024,32,6.001219
Stage2_128,128,"[8, 8, 2]",512,32,6.002147
Stage2_128,128,"[8, 4, 2, 2]",128,16,6.004134
Stage2_128,128,"[4, 4, 2, 2, 2]",1024,32,6.011132
Stage2_128,128,"[4, 4, 2, 2, 2]",512,32,6.011745
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",64,16,6.027658
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",1024,64,6.028632
Stage2_128,128,"[4, 4, 2, 2, 2]",1024,64,6.068032
Stage2_128,128,"[8, 4, 2, 2]",512,64,6.082565
Stage2_128,128,"[8, 2, 2, 2, 2]",128,16,6.119874
Stage2_128,128,"[8, 4, 2, 2]",256,64,6.13033
Stage2_128,128,"[4, 4, 2, 2, 2]",128,16,6.136978
Stage2_128,128,"[8, 8, 2]",512,16,6.175029
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",64,16,6.175855
Stage2_128,128,"[8, 8, 2]",256,16,6.177136
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",512,32,6.204903
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",1024,32,6.205034
Stage2_128,128,"[8, 4, 2, 2]",1024,32,6.214385
Stage2_128,128,"[8, 4, 2, 2]",512,32,6.217365
Stage2_128,128,"[4, 2, 2, 2, 2, 2]",128,16,6.233021
Stage2_128,128,"[8, 4, 4]",256,16,6.233864
Stage2_128,128,"[8, 4, 4]",512,16,6.237077
Stage2_128,128,"[4, 4, 4, 2]",1024,64,6.257396
Stage2_128,128,"[8, 2, 2, 2, 2]",1024,32,6.314326
Stage2_128,128,"[8, 2, 2, 2, 2]",512,32,6.317091
Stage2_128,128,"[16, 4, 2]",1024,32,6.321918
Stage2_128,128,"[16, 4, 2]",512,32,6.322472
Stage2_128,128,"[8, 4, 4]",64,32,6.353743
Stage2_128,128,"[4, 4, 4, 2]",512,16,6.392536
Stage2_128,128,"[16, 8]",512,16,6.392622
Stage2_128,128,"[16, 8]",256,16,6.39396
Stage2_128,128,"[4, 4, 4, 2]",256,16,6.402822
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,16,6.410964
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",128,64,6.411459
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",1024,32,6.420447
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,32,6.421947
Stage2_128,128,"[8, 4, 2, 2]",256,16,6.422103
Stage2_128,128,"[8, 2, 2, 2, 2]",64,32,6.428111
Stage2_128,128,"[8, 4, 2, 2]",512,16,6.429652
