Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,16,123.977196
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,32,122.813149
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,64,124.387592
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,16,123.963492
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,32,123.116611
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,64,123.022895
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,128,125.097806
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,32,123.107998
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,122.800164
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,128,123.003601
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,256,124.869992
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,122.769663
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,128,123.782973
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,256,123.621725
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,512,127.264155
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,128,123.643709
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,256,125.281207
d2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,512,127.697881
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,16,124.055906
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,32,122.98245
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,64,124.187083
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,16,123.995179
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,32,123.006961
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,64,123.031098
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,128,124.278581
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,32,122.995921
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,64,122.800528
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,128,122.918355
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,256,124.478007
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,64,122.78973
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,128,122.812195
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,256,123.299078
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,512,126.334273
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,128,122.802469
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,256,123.360666
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,512,125.60336
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",64,16,123.970445
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",64,32,122.94814
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",64,64,126.260287
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,16,123.97908
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,32,123.163034
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,64,122.768266
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,128,124.378042
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,32,123.124325
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,64,122.985465
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,128,122.855995
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,256,124.151506
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,64,122.954866
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,128,122.916254
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,256,123.433043
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,512,126.456305
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",1024,128,122.843286
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",1024,256,139.450013
d2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",1024,512,148.036287
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",64,16,193.758642
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",64,32,123.332452
d2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",64,64,124.011151
