Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,16,105.959116
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,32,104.843156
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",64,64,106.372892
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,16,105.9341
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,32,105.121687
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,64,105.005457
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",128,128,107.10812
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,32,105.109402
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,104.807347
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,128,105.086929
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,256,106.868972
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,104.849215
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,128,105.649248
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,256,105.585205
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,512,109.292557
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,128,105.682539
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,256,107.207864
z2d,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",1024,512,109.722384
z2d,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,16,105.994562
z2d,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,32,105.023836
z2d,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",64,64,106.130463
z2d,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,16,106.028154
z2d,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",128,32,104.99138
