Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",256,128,18.723735
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 2, 2, 2]",256,128,18.73249
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",256,128,19.071878
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",256,128,19.089071
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",256,128,19.100924
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",512,256,19.156536
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",256,128,19.177959
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",256,128,19.21143
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 2, 2, 2, 2, 2]",256,128,19.250615
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",512,256,19.300464
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",256,128,19.306151
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",512,256,19.311615
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",128,64,19.341854
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",512,256,19.346117
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 2, 2, 2, 2, 2]",512,256,19.38346
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",512,256,19.403866
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",256,128,19.404354
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",512,128,19.421639
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 4]",1024,128,19.423204
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",256,128,19.506061
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",256,128,19.508459
z2z,N=262144_Stage2_512_sbcc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,256,19.528586
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",64,32,19.576021
z2z,N=262144_Stage2_512_sbcc,512,"[16, 2, 2, 2, 2, 2]",512,256,19.60112
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",64,32,19.643253
z2z,N=262144_Stage2_512_sbcc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,128,19.686367
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,64,19.692469
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",512,64,19.696361
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",256,64,19.699334
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",256,64,19.701304
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",1024,64,19.706209
z2z,N=262144_Stage2_512_sbcc,512,"[16, 2, 2, 2, 2, 2]",256,128,19.723415
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",64,32,19.75637
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,64,19.761885
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",128,64,19.776051
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,64,19.790624
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",256,64,19.797891
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",64,32,19.808707
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",256,128,19.808954
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",256,64,19.834263
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,64,19.841345
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",128,64,19.86453
